dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_16,-22.0,ordinary_fft,69,105,0,69,0.6571428571428571
0_0_0_10_14_16,-22.0,savaux,0,105,0,0,0.0
0_0_0_10_14_16,-22.0,branch_gls,0,105,0,0,0.0
0_0_0_10_14_16,-22.0,savaux_dual,0,105,0,0,0.0
0_0_0_10_14_16,-22.0,proposed,0,105,0,0,0.0
0_0_0_10_14_16,-22.0,unichirp,22,105,0,0,0.20952380952380953
0_0_0_10_14_16,-22.0,symfec,10,105,0,0,0.09523809523809523
0_0_0_10_14_16,-22.0,loratrimmer,3,105,0,0,0.02857142857142857
0_0_0_10_14_16,-23.0,ordinary_fft,83,105,0,79,0.7904761904761904
0_0_0_10_14_16,-23.0,savaux,4,105,0,0,0.0380952380952381
0_0_0_10_14_16,-23.0,branch_gls,4,105,0,0,0.0380952380952381
0_0_0_10_14_16,-23.0,savaux_dual,4,105,0,0,0.0380952380952381
0_0_0_10_14_16,-23.0,proposed,4,105,0,0,0.0380952380952381
0_0_0_10_14_16,-23.0,unichirp,26,105,0,0,0.24761904761904763
0_0_0_10_14_16,-23.0,symfec,39,105,0,0,0.37142857142857144
0_0_0_10_14_16,-23.0,loratrimmer,13,105,0,0,0.12380952380952381
0_0_0_10_14_16,-24.0,ordinary_fft,88,105,0,77,0.8380952380952381
0_0_0_10_14_16,-24.0,savaux,11,105,0,0,0.10476190476190476
0_0_0_10_14_16,-24.0,branch_gls,11,105,0,0,0.10476190476190476
0_0_0_10_14_16,-24.0,savaux_dual,11,105,0,0,0.10476190476190476
0_0_0_10_14_16,-24.0,proposed,11,105,0,0,0.10476190476190476
0_0_0_10_14_16,-24.0,unichirp,38,105,0,0,0.3619047619047619
0_0_0_10_14_16,-24.0,symfec,60,105,0,0,0.5714285714285714
0_0_0_10_14_16,-24.0,loratrimmer,23,105,0,0,0.21904761904761905
0_0_0_10_14_16,-25.0,ordinary_fft,96,105,0,76,0.9142857142857143
0_0_0_10_14_16,-25.0,savaux,20,105,0,0,0.19047619047619047
0_0_0_10_14_16,-25.0,branch_gls,20,105,0,0,0.19047619047619047
0_0_0_10_14_16,-25.0,savaux_dual,20,105,0,0,0.19047619047619047
0_0_0_10_14_16,-25.0,proposed,20,105,0,0,0.19047619047619047
0_0_0_10_14_16,-25.0,unichirp,55,105,0,0,0.5238095238095238
0_0_0_10_14_16,-25.0,symfec,71,105,0,0,0.6761904761904762
0_0_0_10_14_16,-25.0,loratrimmer,38,105,0,0,0.3619047619047619
0_0_0_10_14_16,-26.0,ordinary_fft,102,105,0,56,0.9714285714285714
0_0_0_10_14_16,-26.0,savaux,46,105,0,0,0.4380952380952381
0_0_0_10_14_16,-26.0,branch_gls,46,105,0,0,0.4380952380952381
0_0_0_10_14_16,-26.0,savaux_dual,46,105,0,0,0.4380952380952381
0_0_0_10_14_16,-26.0,proposed,46,105,0,0,0.4380952380952381
0_0_0_10_14_16,-26.0,unichirp,72,105,0,0,0.6857142857142857
0_0_0_10_14_16,-26.0,symfec,82,105,0,0,0.780952380952381
0_0_0_10_14_16,-26.0,loratrimmer,49,105,0,0,0.4666666666666667
0_0_0_10_14_32,-22.0,ordinary_fft,75,105,0,46,0.7142857142857143
0_0_0_10_14_32,-22.0,savaux,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-22.0,branch_gls,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-22.0,savaux_dual,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-22.0,proposed,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-22.0,unichirp,32,105,0,0,0.3047619047619048
0_0_0_10_14_32,-22.0,symfec,36,105,0,0,0.34285714285714286
0_0_0_10_14_32,-22.0,loratrimmer,33,105,0,0,0.3142857142857143
0_0_0_10_14_32,-23.0,ordinary_fft,81,105,0,52,0.7714285714285715
0_0_0_10_14_32,-23.0,savaux,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-23.0,branch_gls,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-23.0,savaux_dual,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-23.0,proposed,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-23.0,unichirp,34,105,0,0,0.3238095238095238
0_0_0_10_14_32,-23.0,symfec,40,105,0,0,0.38095238095238093
0_0_0_10_14_32,-23.0,loratrimmer,39,105,0,0,0.37142857142857144
0_0_0_10_14_32,-24.0,ordinary_fft,87,105,0,50,0.8285714285714286
0_0_0_10_14_32,-24.0,savaux,37,105,0,0,0.3523809523809524
0_0_0_10_14_32,-24.0,branch_gls,37,105,0,0,0.3523809523809524
0_0_0_10_14_32,-24.0,savaux_dual,37,105,0,0,0.3523809523809524
0_0_0_10_14_32,-24.0,proposed,37,105,0,0,0.3523809523809524
0_0_0_10_14_32,-24.0,unichirp,40,105,0,0,0.38095238095238093
0_0_0_10_14_32,-24.0,symfec,55,105,0,0,0.5238095238095238
0_0_0_10_14_32,-24.0,loratrimmer,45,105,0,0,0.42857142857142855
0_0_0_10_14_32,-25.0,ordinary_fft,92,105,1,47,0.8761904761904762
0_0_0_10_14_32,-25.0,savaux,46,105,0,0,0.4380952380952381
0_0_0_10_14_32,-25.0,branch_gls,46,105,0,0,0.4380952380952381
0_0_0_10_14_32,-25.0,savaux_dual,46,105,0,0,0.4380952380952381
0_0_0_10_14_32,-25.0,proposed,46,105,0,0,0.4380952380952381
0_0_0_10_14_32,-25.0,unichirp,49,105,0,0,0.4666666666666667
0_0_0_10_14_32,-25.0,symfec,73,105,0,0,0.6952380952380952
0_0_0_10_14_32,-25.0,loratrimmer,51,105,0,0,0.4857142857142857
0_0_0_10_14_32,-26.0,ordinary_fft,95,105,0,43,0.9047619047619048
0_0_0_10_14_32,-26.0,savaux,52,105,0,0,0.49523809523809526
0_0_0_10_14_32,-26.0,branch_gls,52,105,0,0,0.49523809523809526
0_0_0_10_14_32,-26.0,savaux_dual,52,105,0,0,0.49523809523809526
0_0_0_10_14_32,-26.0,proposed,52,105,0,0,0.49523809523809526
0_0_0_10_14_32,-26.0,unichirp,56,105,0,0,0.5333333333333333
0_0_0_10_14_32,-26.0,symfec,80,105,0,0,0.7619047619047619
0_0_0_10_14_32,-26.0,loratrimmer,61,105,0,0,0.580952380952381
0_0_0_10_14_8,-22.0,ordinary_fft,58,105,0,58,0.5523809523809524
0_0_0_10_14_8,-22.0,savaux,0,105,0,0,0.0
0_0_0_10_14_8,-22.0,branch_gls,0,105,0,0,0.0
0_0_0_10_14_8,-22.0,savaux_dual,0,105,0,0,0.0
0_0_0_10_14_8,-22.0,proposed,0,105,0,0,0.0
0_0_0_10_14_8,-22.0,unichirp,8,105,0,0,0.0761904761904762
0_0_0_10_14_8,-22.0,symfec,5,105,0,0,0.047619047619047616
0_0_0_10_14_8,-22.0,loratrimmer,3,105,0,0,0.02857142857142857
0_0_0_10_14_8,-23.0,ordinary_fft,64,105,0,61,0.6095238095238096
0_0_0_10_14_8,-23.0,savaux,3,105,0,0,0.02857142857142857
0_0_0_10_14_8,-23.0,branch_gls,3,105,0,0,0.02857142857142857
0_0_0_10_14_8,-23.0,savaux_dual,3,105,0,0,0.02857142857142857
0_0_0_10_14_8,-23.0,proposed,3,105,0,0,0.02857142857142857
0_0_0_10_14_8,-23.0,unichirp,10,105,0,0,0.09523809523809523
0_0_0_10_14_8,-23.0,symfec,24,105,0,0,0.22857142857142856
0_0_0_10_14_8,-23.0,loratrimmer,4,105,0,0,0.0380952380952381
0_0_0_10_14_8,-24.0,ordinary_fft,74,105,0,67,0.7047619047619048
0_0_0_10_14_8,-24.0,savaux,7,105,0,0,0.06666666666666667
0_0_0_10_14_8,-24.0,branch_gls,7,105,0,0,0.06666666666666667
0_0_0_10_14_8,-24.0,savaux_dual,7,105,0,0,0.06666666666666667
0_0_0_10_14_8,-24.0,proposed,7,105,0,0,0.06666666666666667
0_0_0_10_14_8,-24.0,unichirp,16,105,0,0,0.1523809523809524
0_0_0_10_14_8,-24.0,symfec,45,105,0,0,0.42857142857142855
0_0_0_10_14_8,-24.0,loratrimmer,15,105,0,0,0.14285714285714285
0_0_0_10_14_8,-25.0,ordinary_fft,89,105,0,73,0.8476190476190476
0_0_0_10_14_8,-25.0,savaux,16,105,0,0,0.1523809523809524
0_0_0_10_14_8,-25.0,branch_gls,16,105,0,0,0.1523809523809524
0_0_0_10_14_8,-25.0,savaux_dual,16,105,0,0,0.1523809523809524
0_0_0_10_14_8,-25.0,proposed,16,105,0,0,0.1523809523809524
0_0_0_10_14_8,-25.0,unichirp,31,105,0,0,0.29523809523809524
0_0_0_10_14_8,-25.0,symfec,58,105,0,0,0.5523809523809524
0_0_0_10_14_8,-25.0,loratrimmer,27,105,0,0,0.2571428571428571
0_0_0_10_14_8,-26.0,ordinary_fft,94,105,0,66,0.8952380952380953
0_0_0_10_14_8,-26.0,savaux,28,105,0,0,0.26666666666666666
0_0_0_10_14_8,-26.0,branch_gls,28,105,0,0,0.26666666666666666
0_0_0_10_14_8,-26.0,savaux_dual,28,105,0,0,0.26666666666666666
0_0_0_10_14_8,-26.0,proposed,28,105,0,0,0.26666666666666666
0_0_0_10_14_8,-26.0,unichirp,52,105,0,0,0.49523809523809526
0_0_0_10_14_8,-26.0,symfec,73,105,0,0,0.6952380952380952
0_0_0_10_14_8,-26.0,loratrimmer,41,105,0,0,0.3904761904761905
