dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_8,-19.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,11,11,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-19.0,2,2,2,33,35,0.11428571428571428,0.0,0.0,0.0,0.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,27,27,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-19.0,3,3,3,33,35,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-19.0,4,4,4,33,35,0.08571428571428572,0.0,0.0,0.0,0.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-19.0,5,5,5,33,35,0.4857142857142857,0.05714285714285714,0.0,0.0,0.0,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.0,0.0,0.0,0,0,1,1,1,1,beam,0,512,9,9,0,1.0,1.0,0,0,0,current_selected
0_0_0_10_14_8,-19.0,6,6,6,33,35,0.2571428571428571,0.0,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,8,8,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-19.0,7,7,7,33,35,0.5142857142857142,0.0,0.0,0.0,0.05714285714285714,0.5142857142857142,0.5142857142857142,0.4571428571428571,0.0,-0.05714285714285714,-0.05714285714285714,0,1,1,1,1,1,beam,9,512,18,18,0,1.0,1.0,2,0,2,multi_offset_argmax
0_0_0_10_14_8,-19.0,8,8,8,33,35,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,6,6,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-19.0,9,9,9,33,35,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-20.0,0,0,0,33,35,0.05714285714285714,0.0,0.0,0.0,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-20.0,1,1,1,33,35,0.08571428571428572,0.0,0.0,0.0,0.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,10,10,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-20.0,2,2,2,33,35,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,27,27,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-20.0,3,3,3,33,35,0.05714285714285714,0.0,0.0,0.0,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-20.0,4,4,4,33,35,0.22857142857142856,0.0,0.0,0.0,0.0,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-20.0,5,5,5,33,35,0.6,0.2,0.02857142857142857,0.0,0.0,0.5714285714285714,0.6,0.6,0.02857142857142857,0.02857142857142857,0.0,0,0,1,1,1,1,beam,0,512,9,9,0,1.0,1.0,0,0,0,savaux_paper
0_0_0_10_14_8,-20.0,6,6,6,33,35,0.4,0.08571428571428572,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0,0,1,1,1,1,beam,0,512,8,8,0,1.0,1.0,0,0,0,current_selected
0_0_0_10_14_8,-20.0,7,7,7,33,35,0.6857142857142857,0.08571428571428572,0.0,0.0,0.05714285714285714,0.6857142857142857,0.6857142857142857,0.6285714285714286,0.0,-0.05714285714285714,-0.05714285714285714,0,0,1,1,1,1,beam,9,512,16,16,0,1.0,1.0,2,0,2,current_selected
0_0_0_10_14_8,-20.0,8,8,8,33,35,0.6,0.02857142857142857,0.02857142857142857,0.0,0.0,0.5714285714285714,0.6,0.6,0.02857142857142857,0.02857142857142857,0.0,0,1,1,1,1,1,beam,0,512,6,6,0,1.0,1.0,0,0,0,savaux_paper
0_0_0_10_14_8,-20.0,9,9,9,33,35,0.5142857142857142,0.02857142857142857,0.0,0.0,0.0,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.0,0.0,0.0,0,0,1,1,1,1,beam,0,512,20,20,0,1.0,1.0,0,0,0,current_selected
0_0_0_10_14_8,-21.0,0,0,0,33,35,0.2571428571428571,0.0,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-21.0,1,1,1,33,35,0.17142857142857143,0.0,0.0,0.0,0.0,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,9,9,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-21.0,2,2,2,33,35,0.37142857142857144,0.0,0.0,0.0,0.0,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,25,25,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-21.0,3,3,3,33,35,0.22857142857142856,0.0,0.0,0.0,0.0,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-21.0,4,4,4,33,35,0.3142857142857143,0.0,0.0,0.0,0.0,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-21.0,5,5,5,33,35,0.8285714285714286,0.34285714285714286,0.14285714285714285,0.0,0.0,0.6857142857142857,0.8285714285714286,0.8285714285714286,0.14285714285714285,0.14285714285714285,0.0,0,0,0,1,1,1,beam,0,512,7,7,0,1.0,1.0,0,0,0,savaux_paper
0_0_0_10_14_8,-21.0,6,6,6,33,35,0.6,0.22857142857142856,0.05714285714285714,0.02857142857142857,0.0,0.5428571428571428,0.5714285714285714,0.6,0.02857142857142857,0.05714285714285714,0.02857142857142857,0,0,0,0,1,1,beam,1,512,5,5,0,1.0,1.0285714285714285,1,1,0,savaux_codec
0_0_0_10_14_8,-21.0,7,7,7,33,35,0.8,0.2857142857142857,0.08571428571428572,0.0,0.05714285714285714,0.7142857142857143,0.8,0.7428571428571429,0.08571428571428572,0.028571428571428574,-0.05714285714285714,0,0,0,1,1,1,beam,8,512,18,18,0,1.0,1.0,2,0,2,savaux_paper
0_0_0_10_14_8,-21.0,8,8,8,33,35,0.7714285714285715,0.11428571428571428,0.05714285714285714,0.0,0.0,0.7142857142857143,0.7714285714285715,0.7714285714285715,0.05714285714285714,0.05714285714285714,0.0,0,0,0,1,1,1,beam,0,512,5,5,0,1.0,1.0,0,0,0,savaux_paper
0_0_0_10_14_8,-21.0,9,9,9,33,35,0.7428571428571429,0.08571428571428572,0.02857142857142857,0.0,0.0,0.7142857142857143,0.7428571428571429,0.7428571428571429,0.02857142857142857,0.02857142857142857,0.0,0,0,0,1,1,1,beam,0,512,20,20,0,1.0,1.0,0,0,0,savaux_paper
0_0_0_10_14_8,-22.0,0,0,0,33,35,0.5142857142857142,0.02857142857142857,0.0,0.0,0.0,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.0,0.0,0.0,0,0,1,1,1,1,beam,0,512,8,8,0,1.0,1.0,0,0,0,current_selected
0_0_0_10_14_8,-22.0,1,1,1,33,35,0.3142857142857143,0.02857142857142857,0.0,0.0,0.0,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,7,7,0,1.0,1.0,0,0,0,current_selected
