method,target_snr_db,input_iq,packet_count,center_argmax_symbol_ser,multi_offset_argmax_symbol_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,crc_valid_rate,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
coherence,-22.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,11,0.6025974025974027,0.17922077922077922,0.05974025974025974,0.5428571428571428,0.11948051948051946,0.36363636363636365,0.41558441558441556,0.00505050505050505,0.9471396637067411,0.9476591586176434,0.9523956955695788,0.21041018728866936
window,-22.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,11,0.6025974025974027,0.17922077922077922,0.06493506493506494,0.5376623376623377,0.11428571428571427,0.36363636363636365,0.41558441558441556,0.00505050505050505,0.9471396637067411,0.9475599399625899,0.9354872311245828,0.22521566950342461
coherence,-23.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m23dB.bin,11,0.7324675324675325,0.3194805194805194,0.1662337662337662,0.5662337662337662,0.15324675324675324,0.0,0.24675324675324675,0.009090909090909092,0.9035921685532365,0.936464596423983,0.90811255881063,0.2217619460449584
window,-23.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m23dB.bin,11,0.7324675324675325,0.3194805194805194,0.16883116883116883,0.5636363636363636,0.15064935064935064,0.0,0.24675324675324675,0.009090909090909092,0.9035921685532365,0.9365038850527075,0.8064756100488093,0.2995631027299806
coherence,-24.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m24dB.bin,11,0.8337662337662338,0.509090909090909,0.29610389610389604,0.5376623376623376,0.21298701298701295,0.0,0.14025974025974028,0.011363636363636364,0.8357412988000004,0.9249392869863141,0.7615987985076736,0.3700116760947634
window,-24.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m24dB.bin,11,0.8337662337662338,0.509090909090909,0.2831168831168831,0.5506493506493506,0.22597402597402594,0.0,0.14025974025974028,0.011363636363636364,0.8357412988000004,0.9260888257907746,0.7110225621462356,0.4611262254937861
coherence,-25.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m25dB.bin,11,0.9116883116883119,0.6441558441558443,0.43636363636363634,0.4753246753246753,0.20779220779220778,0.0,0.05714285714285714,0.048484848484848485,0.7162583721838509,0.9112194984807097,0.6724447520659717,0.45971283837453447
window,-25.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m25dB.bin,11,0.9116883116883119,0.6441558441558443,0.44155844155844154,0.4701298701298702,0.20259740259740264,0.0,0.05714285714285714,0.048484848484848485,0.7162583721838509,0.9112317681434289,0.5092493642600329,0.4449845157105133
coherence,-26.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m26dB.bin,11,0.9506493506493506,0.7792207792207794,0.587012987012987,0.36363636363636365,0.19220779220779224,0.0,0.03896103896103897,0.0606060606060606,0.5970834201449174,0.9015779619800902,0.52145029811682,0.5097279768702819
window,-26.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m26dB.bin,11,0.9506493506493506,0.7792207792207794,0.5896103896103896,0.36103896103896105,0.18961038961038962,0.0,0.03896103896103897,0.0606060606060606,0.5970834201449174,0.9031931440345885,0.40750444909322864,0.5188328971850518
coherence,-27.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m27dB.bin,11,0.9688311688311688,0.8675324675324675,0.7298701298701299,0.23896103896103893,0.13766233766233765,0.0,0.020779220779220783,0.18181818181818182,0.46500451420237515,0.8961610180351701,0.48415726766043893,0.5310457763528548
window,-27.0,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m27dB.bin,11,0.9688311688311688,0.8675324675324675,0.7272727272727273,0.24155844155844156,0.14025974025974025,0.0,0.020779220779220783,0.18181818181818182,0.46500451420237515,0.8959206157809283,0.48121458188084776,0.5290541568913157
