energy_weight,coherence_weight,phase_local_weight,rank_weight,adaptive,low_energy_weight,low_coherence_weight,low_phase_local_weight,low_rank_weight,symbol_count,phase_line_ser,savaux_ser,stage1_top40_recall,actual_viterbi_candidate_recall,ser_-26,savaux_ser_-26,ser_-25,savaux_ser_-25,ser_-24,savaux_ser_-24,ser_-23,savaux_ser_-23,ser_-22,savaux_ser_-22,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok_rate,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue_rate,C_savaux_ok_phase_break,C_savaux_ok_phase_break_rate,D_stage1_top40_miss,D_stage1_top40_miss_rate,E0_gt_in_top40_but_not_actual_candidates,E0_gt_in_top40_but_not_actual_candidates_rate,E1_gt_in_candidates_local_score_loss,E1_gt_in_candidates_local_score_loss_rate,E2_gt_in_candidates_transition_loss,E2_gt_in_candidates_transition_loss_rate,E3_lock_or_high_conf_removed_gt,E3_lock_or_high_conf_removed_gt_rate,Z_other,Z_other_rate,variant
0.65,0.15,0.15,0.0,1,0.6,0.15,0.2,0.0,9625,0.12841558441558443,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3537662337662336,0.4077922077922077,0.18909090909090903,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7913,0.8221298701298702,476,0.04945454545454545,118,0.01225974025974026,171,0.017766233766233767,124,0.012883116883116883,752,0.07812987012987013,7,0.0007272727272727272,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.15_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.25,0.2,0.0,9625,0.12872727272727272,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3553246753246752,0.4077922077922077,0.18961038961038956,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.018701298701298698,0.03896103896103895,0.004155844155844156,0.010909090909090908,7907,0.8215064935064935,479,0.049766233766233764,124,0.012883116883116883,171,0.017766233766233767,124,0.012883116883116883,748,0.07771428571428571,8,0.0008311688311688312,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.25_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.2,0.2,0.0,9625,0.12883116883116882,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.35636363636363627,0.4077922077922077,0.18909090909090903,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.018701298701298698,0.03896103896103895,0.004155844155844156,0.010909090909090908,7908,0.8216103896103896,477,0.04955844155844156,123,0.012779220779220779,171,0.017766233766233767,124,0.012883116883116883,749,0.07781818181818181,9,0.0009350649350649351,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.20_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.3,0.2,0.0,9625,0.12883116883116882,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3574025974025973,0.4077922077922077,0.188051948051948,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.018701298701298698,0.03896103896103895,0.004155844155844156,0.010909090909090908,7903,0.8210909090909091,482,0.050077922077922075,128,0.0132987012987013,171,0.017766233766233767,124,0.012883116883116883,748,0.07771428571428571,5,0.0005194805194805195,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.30_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.55,0.15,0.2,0.0,9625,0.12883116883116882,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3537662337662337,0.4077922077922077,0.19064935064935062,0.24727272727272723,0.07636363636363636,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7902,0.8209870129870129,483,0.05018181818181818,129,0.013402597402597402,171,0.017766233766233767,124,0.012883116883116883,744,0.0772987012987013,8,0.0008311688311688312,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.55_c0.15_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.55,0.2,0.2,0.0,9625,0.12893506493506493,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.35636363636363627,0.4077922077922077,0.1896103896103896,0.24727272727272723,0.07532467532467532,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7902,0.8209870129870129,482,0.050077922077922075,129,0.013402597402597402,171,0.017766233766233767,124,0.012883116883116883,745,0.0774025974025974,8,0.0008311688311688312,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.55_c0.20_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.55,0.25,0.2,0.0,9625,0.12914285714285714,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3579220779220778,0.4077922077922077,0.18857142857142856,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7898,0.8205714285714286,484,0.05028571428571429,133,0.013818181818181818,171,0.017766233766233767,124,0.012883116883116883,746,0.07750649350649351,5,0.0005194805194805195,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.55_c0.25_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.55,0.3,0.2,0.0,9625,0.12945454545454546,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.35896103896103887,0.4077922077922077,0.1896103896103896,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.018701298701298698,0.03896103896103895,0.004155844155844156,0.010909090909090908,7895,0.8202597402597402,484,0.05028571428571429,136,0.01412987012987013,171,0.017766233766233767,124,0.012883116883116883,746,0.07750649350649351,5,0.0005194805194805195,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.55_c0.30_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.5,0.15,0.2,0.0,9625,0.1304935064935065,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.36103896103896094,0.4077922077922077,0.19220779220779216,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7883,0.819012987012987,486,0.05049350649350649,148,0.015376623376623377,171,0.017766233766233767,124,0.012883116883116883,739,0.07677922077922078,10,0.001038961038961039,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.50_c0.15_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.5,0.2,0.2,0.0,9625,0.1308051948051948,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.36207792207792194,0.4077922077922077,0.1922077922077921,0.24727272727272723,0.07636363636363636,0.1231168831168831,0.019220779220779218,0.03896103896103895,0.004155844155844156,0.010909090909090908,7878,0.8184935064935065,488,0.0507012987012987,153,0.015896103896103898,171,0.017766233766233767,124,0.012883116883116883,738,0.07667532467532467,9,0.0009350649350649351,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.50_c0.20_p0.20_r0.00
