dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,snr_label,added_snr_db,seed,added_awgn_power,savaux_bin,savaux_correct,savaux_margin_db,white_ml_bin,white_ml_matches_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux,covariance_model
collector_low4_train_low1,7,0,0,8,30416310,803,clean,,0,0.0,803,1,14.425949149737248,803,1,803,1,14.65893317380285,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,1,9,30420406,711,clean,,0,0.0,711,1,12.315898183437552,711,1,711,1,12.293286861362262,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,2,10,30424502,922,clean,,0,0.0,922,1,12.771045256386344,922,1,922,1,12.848154498577545,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,3,11,30428598,718,clean,,0,0.0,718,1,12.245346707683511,718,1,718,1,13.626565482420911,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,4,12,30432694,756,clean,,0,0.0,756,1,13.611091473987411,756,1,756,1,13.206395524473855,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,5,13,30436790,109,clean,,0,0.0,109,1,11.430087606401791,109,1,109,1,12.133459737515132,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,6,14,30440886,932,clean,,0,0.0,932,1,10.707334054390714,932,1,932,1,11.140457716215089,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,7,15,30444982,468,clean,,0,0.0,468,1,14.333969645481,468,1,468,1,14.270705613740372,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,8,16,30449078,89,clean,,0,0.0,89,1,11.258474012768573,89,1,89,1,11.18097711542015,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,9,17,30453174,713,clean,,0,0.0,713,1,7.597732522772926,713,1,713,1,8.078932031852741,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,10,18,30457270,865,clean,,0,0.0,865,1,8.62135262118551,865,1,865,1,8.7251450526739,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,11,19,30461366,92,clean,,0,0.0,92,1,11.90750712839056,92,1,92,1,12.869333764985624,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,12,20,30465462,645,clean,,0,0.0,645,1,10.341853400265741,645,1,645,1,11.145228135242801,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,13,21,30469558,426,clean,,0,0.0,426,1,11.201872095777896,426,1,426,1,11.695640049858035,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,14,22,30473654,765,clean,,0,0.0,765,1,12.549701460013774,765,1,765,1,12.952210469343674,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,15,23,30477750,1023,clean,,0,0.0,1023,1,13.69456872099881,1023,1,1023,1,13.530068943593779,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,16,24,30481846,597,clean,,0,0.0,597,1,11.189680126081418,597,1,597,1,12.334616263592839,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,17,25,30485942,562,clean,,0,0.0,562,1,12.697191914217147,562,1,562,1,12.65747770313427,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,18,26,30490038,827,clean,,0,0.0,827,1,13.29970892083658,827,1,827,1,13.539267873798194,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,19,27,30494134,890,clean,,0,0.0,890,1,11.84278297139848,890,1,890,1,12.277018103871029,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,20,28,30498230,174,clean,,0,0.0,174,1,12.159480364812946,174,1,174,1,12.329394942589065,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,21,29,30502326,267,clean,,0,0.0,267,1,8.882221418373431,267,1,267,1,8.73579680784298,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,22,30,30506422,917,clean,,0,0.0,917,1,7.5160656719690095,917,1,917,1,7.566087204258435,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,23,31,30510518,656,clean,,0,0.0,656,1,11.291720582474705,656,1,656,1,11.666749135879526,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,24,32,30514614,889,clean,,0,0.0,889,1,12.057589668865067,889,1,889,1,11.839494300187226,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,25,33,30518710,66,clean,,0,0.0,66,1,13.588882882513962,66,1,66,1,12.722828587114316,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,26,34,30522806,586,clean,,0,0.0,586,1,12.108318179412791,586,1,586,1,11.758654788817227,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,27,35,30526902,425,clean,,0,0.0,425,1,12.256402443398498,425,1,425,1,11.456446299704904,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,28,36,30530998,860,clean,,0,0.0,860,1,11.5292911459811,860,1,860,1,12.069911527339961,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,29,37,30535095,553,clean,,0,0.0,553,1,10.987607668896832,553,1,553,1,11.54705534395416,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,30,38,30539191,629,clean,,0,0.0,629,1,11.997218626204036,629,1,629,1,9.979858649275194,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,31,39,30543287,759,clean,,0,0.0,759,1,10.409684887310526,759,1,759,1,10.531315732550626,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,32,40,30547383,494,clean,,0,0.0,494,1,11.729564591074107,494,1,494,1,12.133393296877827,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,33,41,30551479,303,clean,,0,0.0,303,1,10.852646256726842,303,1,303,1,10.390701219786788,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
