dataset,packet_index,frame_index,event_index,payload_symbol_index,frame_symbol_index,source_start_sample,corrected_start_sample,gt_bin,clean_csv_margin_db,clean_recomputed_margin_db,waveform_source,gt_provenance,noise_covariance_source,noise_window_count,noise_windows_available,raw_noise_power,covariance_sample_count,segment_covariance_sample_count,savaux_bin,gt_match_savaux,savaux_correct,savaux_margin_db,savaux_fix_vs_savaux,savaux_break_vs_savaux,fixed_gls_bin,fixed_gls_correct,fixed_gls_margin_db,fixed_gls_fix_vs_savaux,fixed_gls_break_vs_savaux,segmented_gls_bin,segmented_gls_correct,segmented_gls_margin_db,segmented_gls_fix_vs_savaux,segmented_gls_break_vs_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux
0_0_0_10_14_8,0,0,0,0,8,728281,728283,803,21.177893576348957,20.299509455762625,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,803,1,1,20.299509455762625,0,0,803,1,21.108347780398738,0,0,803,1,2.1507292031074283,0,0,803,1,15.479758069054085,0,0
0_0_0_10_14_8,0,0,0,1,9,732377,732379,826,22.89976042157712,21.60013678403783,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,826,1,1,21.60013678403783,0,0,826,1,19.49449270030459,0,0,826,1,6.930758528550393,0,0,826,1,16.658601414092136,0,0
0_0_0_10_14_8,0,0,0,2,10,736473,736475,922,20.5234143849705,19.141361739585307,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,922,1,1,19.141361739585307,0,0,922,1,18.607461805634934,0,0,922,1,6.348936708182387,0,0,922,1,16.86538589835948,0,0
0_0_0_10_14_8,0,0,0,3,11,740569,740571,718,21.370776656335714,22.32975498747507,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,718,1,1,22.32975498747507,0,0,718,1,23.45745714700498,0,0,718,1,0.22609587182685353,0,0,718,1,16.636761221316767,0,0
0_0_0_10_14_8,0,0,0,4,12,744665,744667,86,25.286145679860233,23.21225805255041,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,86,1,1,23.21225805255041,0,0,86,1,23.571748682752165,0,0,86,1,5.78126374036129,0,0,86,1,15.294510964115805,0,0
0_0_0_10_14_8,0,0,0,5,13,748761,748763,467,23.754859975023123,24.99903308792372,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,467,1,1,24.99903308792372,0,0,467,1,20.12486223650502,0,0,467,1,5.847815599630698,0,0,467,1,15.080685570665807,0,0
0_0_0_10_14_8,0,0,0,6,14,752857,752859,89,25.679503756745614,22.636105109149284,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,89,1,1,22.636105109149284,0,0,89,1,24.71307487686864,0,0,89,1,8.73001275510331,0,0,89,1,15.41713199216123,0,0
0_0_0_10_14_8,0,0,0,7,15,756953,756955,713,28.77930601082462,26.86051690749748,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,713,1,1,26.86051690749748,0,0,713,1,22.663794687723353,0,0,713,1,4.796122511989273,0,0,713,1,16.268797198271812,0,0
0_0_0_10_14_8,0,0,0,8,16,761049,761051,865,23.959600727415477,23.102243562181386,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,865,1,1,23.102243562181386,0,0,865,1,22.523526168611276,0,0,865,1,9.4909274325225,0,0,865,1,15.454289332414806,0,0
0_0_0_10_14_8,0,0,0,9,17,765145,765147,405,26.70805997150909,24.26763735063002,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,405,1,1,24.26763735063002,0,0,405,1,25.21245230438637,0,0,405,1,4.838448668989267,0,0,405,1,16.290498237889327,0,0
0_0_0_10_14_8,0,0,0,10,18,769241,769243,765,26.052484220883944,27.45654571084377,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,12,12,2.089750346829455e-06,12,12,765,1,1,27.45654571084377,0,0,765,1,25.42708343890847,0,0,765,1,4.029167093131086,0,0,765,1,15.371031926524735,0,0
