dataset,method,metric,threshold_snr_db,status
0_0_0_10_14_16,center,SER<=10%,-26.673076923076923,interpolated
0_0_0_10_14_16,center,accuracy>=90%,-26.673076923076923,interpolated
0_0_0_10_14_16,center,CRC/PRR>=90%,-24.275,interpolated
0_0_0_10_14_16,center,CRC/PRR>=80%,-24.55,interpolated
0_0_0_10_14_16,center,CRC/PRR>=50%,-25.375,interpolated
0_0_0_10_14_16,multi,SER<=10%,-28.0,all_pass
0_0_0_10_14_16,multi,accuracy>=90%,-28.0,all_pass
0_0_0_10_14_16,multi,CRC/PRR>=90%,-27.03333333333333,interpolated
0_0_0_10_14_16,multi,CRC/PRR>=80%,-27.4,interpolated
0_0_0_10_14_16,multi,CRC/PRR>=50%,-28.0,all_pass
0_0_0_10_14_16,v3,SER<=10%,-28.0,all_pass
0_0_0_10_14_16,v3,accuracy>=90%,-28.0,all_pass
0_0_0_10_14_16,v3,CRC/PRR>=90%,-28.0,all_pass
0_0_0_10_14_16,v3,CRC/PRR>=80%,-28.0,all_pass
0_0_0_10_14_16,v3,CRC/PRR>=50%,-28.0,all_pass
0_0_0_10_14_16,phase_line,SER<=10%,-28.0,all_pass
0_0_0_10_14_16,phase_line,accuracy>=90%,-28.0,all_pass
0_0_0_10_14_16,phase_line,CRC/PRR>=90%,-26.02,interpolated
0_0_0_10_14_16,phase_line,CRC/PRR>=80%,-26.24,interpolated
0_0_0_10_14_16,phase_line,CRC/PRR>=50%,-26.9,interpolated
mean_of_datasets,center,SER<=10%,-26.673076923076923,interpolated
mean_of_datasets,center,accuracy>=90%,-26.673076923076923,interpolated
mean_of_datasets,center,CRC/PRR>=90%,-24.275,interpolated
mean_of_datasets,center,CRC/PRR>=80%,-24.55,interpolated
mean_of_datasets,center,CRC/PRR>=50%,-25.375,interpolated
mean_of_datasets,multi,SER<=10%,-28.0,all_pass
mean_of_datasets,multi,accuracy>=90%,-28.0,all_pass
mean_of_datasets,multi,CRC/PRR>=90%,-27.03333333333333,interpolated
mean_of_datasets,multi,CRC/PRR>=80%,-27.4,interpolated
mean_of_datasets,multi,CRC/PRR>=50%,-28.0,all_pass
mean_of_datasets,v3,SER<=10%,-28.0,all_pass
mean_of_datasets,v3,accuracy>=90%,-28.0,all_pass
mean_of_datasets,v3,CRC/PRR>=90%,-28.0,all_pass
mean_of_datasets,v3,CRC/PRR>=80%,-28.0,all_pass
mean_of_datasets,v3,CRC/PRR>=50%,-28.0,all_pass
mean_of_datasets,phase_line,SER<=10%,-28.0,all_pass
mean_of_datasets,phase_line,accuracy>=90%,-28.0,all_pass
mean_of_datasets,phase_line,CRC/PRR>=90%,-26.02,interpolated
mean_of_datasets,phase_line,CRC/PRR>=80%,-26.24,interpolated
mean_of_datasets,phase_line,CRC/PRR>=50%,-26.9,interpolated
