dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux
0_0_0_10_14_16,-24.0,1,1,35,1.0,1.0285714285714285,0.02857142857142857,0.37142857142857144,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0,12,13,0,2,3,1,2,3,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0
0_0_0_10_14_16,-25.0,1,1,35,1.0,1.2,0.14285714285714285,0.5714285714285714,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,16,20,0,4,5,0,4,5,0,4,5,0,1,1,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,-26.0,1,1,35,1.0,2.3714285714285714,0.37142857142857144,0.7428571428571429,0.42857142857142855,0.34285714285714286,0.34285714285714286,0.37142857142857144,0.42857142857142855,0.37142857142857144,0.37142857142857144,0,13,23,0,2,7,2,1,7,2,1,7,0,0,2,0,2,6,0,0,0,0,0,0
0_0_0_10_14_16,-24.0,2,1,35,1.0,1.3714285714285714,0.14285714285714285,0.5428571428571428,0.2,0.17142857142857143,0.17142857142857143,0.11428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,15,19,1,3,6,1,2,5,1,2,5,1,0,2,0,0,2,0,0,1,0,0,0
0_0_0_10_14_16,-25.0,2,1,35,0.9428571428571428,2.6,0.2571428571428571,0.6571428571428571,0.37142857142857144,0.37142857142857144,0.34285714285714286,0.2571428571428571,0.2857142857142857,0.2571428571428571,0.2571428571428571,0,14,20,2,6,11,1,5,10,1,4,9,0,0,2,2,3,8,0,0,1,0,0,0
0_0_0_10_14_16,-26.0,2,1,35,0.9142857142857143,6.685714285714286,0.45714285714285713,0.7714285714285715,0.5428571428571428,0.4857142857142857,0.5142857142857142,0.4857142857142857,0.5142857142857142,0.45714285714285713,0.45714285714285713,0,11,24,1,4,16,2,3,15,1,3,15,0,1,6,1,3,15,0,0,2,0,0,0
0_0_0_10_14_16,-24.0,3,1,35,1.0,1.2285714285714286,0.17142857142857143,0.4857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,1,12,18,2,1,4,2,1,4,2,1,4,2,0,2,2,0,3,2,0,2,2,0,2
0_0_0_10_14_16,-25.0,3,1,35,1.0,2.3714285714285714,0.2857142857142857,0.6,0.34285714285714286,0.34285714285714286,0.3142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1,12,21,1,3,7,0,2,6,0,1,5,0,0,1,0,0,3,0,0,1,0,0,0
0_0_0_10_14_16,-26.0,3,1,35,0.8857142857142857,6.0285714285714285,0.34285714285714286,0.6857142857142857,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.37142857142857144,0.45714285714285713,0.34285714285714286,0.34285714285714286,1,13,24,0,4,9,0,4,10,0,4,9,0,1,3,0,4,8,0,0,2,0,0,0
0_0_0_10_14_16,-24.0,42,1,35,1.0,1.2571428571428571,0.11428571428571428,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11428571428571428,0.11428571428571428,0,16,20,0,1,2,0,1,3,0,1,3,0,1,3,0,1,2,0,0,0,0,0,0
0_0_0_10_14_16,-25.0,42,1,35,0.9428571428571428,3.5428571428571427,0.2857142857142857,0.6571428571428571,0.2,0.2857142857142857,0.2857142857142857,0.2,0.2,0.2571428571428571,0.2571428571428571,1,14,23,4,1,7,3,3,9,3,3,10,3,0,6,3,0,5,1,0,1,1,0,1
0_0_0_10_14_16,-26.0,42,1,35,0.8857142857142857,10.057142857142857,0.4857142857142857,0.7714285714285715,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.5142857142857142,0.45714285714285713,0.4857142857142857,0.4857142857142857,2,12,27,2,1,10,2,1,12,3,2,14,0,1,7,1,0,4,0,0,1,0,0,1
