packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
1,1,0,222,222,221,-0.300837,-2.507741,2.206904,1.000000,0.233505,0.6474,11.918018,0.009276,222,1,0,222,1
1,1,1,1007,-17,1006,-1.870065,-0.730955,-1.139110,0.418403,-0.473864,0.1781,10.390501,0.007154,1007,1,0,826,0
1,1,2,637,-387,636,-0.239361,-3.439293,-3.083253,1.000000,0.104049,0.5169,11.643258,0.008585,637,1,0,922,0
1,1,3,718,-306,717,-0.797335,-1.808589,1.011255,0.530798,-0.347193,0.2237,10.534740,0.007606,718,1,0,718,1
1,1,4,989,-35,988,-1.437284,-1.355308,-0.081976,0.996642,0.261213,0.6716,11.029801,0.007822,989,1,0,107,0
1,1,5,880,-144,879,1.029752,-1.995257,3.025009,1.000000,0.097528,0.5088,10.642781,0.007507,880,1,0,468,0
1,1,6,921,-103,920,1.337083,0.471779,0.865304,0.648409,-0.233306,0.2704,10.433395,0.007345,921,1,0,89,0
1,1,7,909,-115,908,1.034620,1.644413,-0.609793,0.819767,-0.171316,0.3375,10.080386,0.006416,909,1,0,713,0
1,1,8,865,-159,864,-1.486878,1.341951,-2.828829,1.000000,0.013167,0.4237,10.075170,0.007014,865,1,0,865,1
1,1,9,615,-409,614,-2.654207,-1.789341,-0.864866,0.648742,-0.208451,0.2688,9.528863,0.006192,615,1,0,492,0
1,1,10,858,-166,857,-1.961324,-3.821536,1.860212,1.000000,0.055536,0.4668,10.556813,0.007526,858,1,0,765,0
1,1,11,975,-49,974,2.337130,-3.128653,-0.817403,0.684118,-0.095680,0.2844,10.149012,0.007184,975,1,0,1023,0
1,1,12,607,-417,606,0.313649,1.169801,-0.856152,0.655348,-0.253965,0.2731,10.443181,0.007325,607,1,0,597,0
1,1,13,34,34,33,2.828172,-1.671083,-1.783931,1.000000,0.042199,0.4517,9.934922,0.006363,34,1,0,562,0
1,1,14,288,288,287,-1.745569,0.843441,-2.589009,1.000000,0.052574,0.4623,9.795314,0.006451,288,1,0,478,0
1,1,15,615,-409,614,-2.836569,-0.036124,-2.800445,1.000000,0.062208,0.4732,10.423126,0.007318,615,1,0,267,0
1,1,16,917,-107,916,-1.816636,-1.127124,-0.689512,0.771556,-0.142267,0.3195,10.715771,0.007227,917,1,0,917,1
1,1,17,656,-368,655,-2.139993,-0.796704,-1.343289,1.000000,0.204854,0.6202,12.404037,0.010219,656,1,0,656,1
1,1,18,811,-213,810,-2.812458,-2.463351,-0.349107,0.939678,0.233261,0.6206,10.811076,0.007620,811,1,0,889,0
1,1,19,34,34,33,-0.240122,-3.135815,2.895693,1.000000,0.135114,0.5461,10.479436,0.007291,34,1,0,510,0
1,1,20,544,-480,543,2.335682,-0.563479,2.899162,1.000000,0.090267,0.5011,10.544753,0.007217,544,1,0,860,0
