dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_8,-12.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8457142857142858,0.0,0.5,0.8970193739689943,0.27467595285241064
0_0_0_10_14_8,-13.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8485714285714285,0.0,0.5,0.8962319881467739,0.27381301659165963
0_0_0_10_14_8,-14.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8542857142857143,0.0,0.6,0.8863170001935791,0.2681936909639134
0_0_0_10_14_8,-15.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8542857142857143,0.0,0.6,0.8859178257736879,0.26832783859842313
0_0_0_10_14_8,-16.0,10,0.017142857142857144,0.9828571428571429,0.7,0.0,1.0,1.0,0.002857142857142857,0.9971428571428571,0.9,0.014285714285714287,0.20000000000000007,-0.002857142857142857,-0.09999999999999998,0.8428571428571429,0.0,0.6,0.873483444049383,0.2730144736637758
0_0_0_10_14_8,-17.0,10,0.06285714285714286,0.9371428571428572,0.6,0.0,1.0,1.0,0.008571428571428572,0.9914285714285714,0.8,0.05428571428571429,0.20000000000000007,-0.008571428571428572,-0.19999999999999996,0.8400000000000001,0.0,0.6,0.8731295234865145,0.27479959131381365
0_0_0_10_14_8,-18.0,10,0.12857142857142856,0.8714285714285716,0.4,0.002857142857142857,0.9971428571428571,0.9,0.011428571428571429,0.9885714285714287,0.7,0.11714285714285713,0.29999999999999993,-0.008571428571428572,-0.20000000000000007,0.82,0.0,0.6,0.8542822223900168,0.29603447703174635
0_0_0_10_14_8,-19.0,10,0.22857142857142856,0.7714285714285715,0.0,0.011428571428571429,0.9885714285714287,0.8,0.04285714285714286,0.9571428571428571,0.6,0.18571428571428572,0.6,-0.03142857142857143,-0.20000000000000007,0.7857142857142858,0.0,0.6,0.7335499476577712,0.283088316532606
0_0_0_10_14_8,-20.0,10,0.3657142857142857,0.6342857142857143,0.0,0.04571428571428572,0.9542857142857143,0.6,0.11428571428571428,0.8857142857142858,0.5,0.25142857142857145,0.5,-0.06857142857142856,-0.09999999999999998,0.72,0.0,0.8824110671936758,0.8241206925118595,0.2249622575135799
0_0_0_10_14_8,-21.0,10,0.5171428571428571,0.48285714285714293,0.0,0.13142857142857142,0.8685714285714285,0.5,0.16571428571428573,0.8342857142857143,0.5,0.3514285714285714,0.5,-0.03428571428571431,0.0,0.6028571428571429,0.0,0.958608695652174,0.753541572744911,0.2813456015096979
0_0_0_10_14_8,-22.0,10,0.6628571428571428,0.33714285714285713,0.0,0.18857142857142856,0.8114285714285716,0.3,0.2885714285714286,0.7114285714285714,0.1,0.3742857142857142,0.1,-0.10000000000000003,-0.19999999999999998,0.4228571428571429,0.0,0.8916399835796387,0.7866659860666273,0.2383028046307713
0_0_0_10_14_8,-23.0,10,0.7942857142857143,0.20571428571428568,0.0,0.33428571428571424,0.6657142857142857,0.0,0.37142857142857144,0.6285714285714287,0.0,0.4228571428571428,0.0,-0.0371428571428572,0.0,0.29999999999999993,0.004545454545454545,0.8241575711091429,0.8590128289394551,0.3149671970807553
0_0_0_10_14_8,-24.0,10,0.86,0.13999999999999999,0.0,0.49428571428571433,0.5057142857142857,0.0,0.54,0.45999999999999996,0.0,0.31999999999999995,0.0,-0.04571428571428571,0.0,0.17999999999999997,0.0375,0.7042533865038609,0.8501679799714971,0.31137246603779956
0_0_0_10_14_8,-25.0,10,0.9200000000000002,0.08000000000000002,0.0,0.6542857142857142,0.34571428571428575,0.0,0.6942857142857142,0.3057142857142857,0.0,0.22571428571428598,0.0,-0.039999999999999925,0.0,0.07428571428571427,0.125,0.5839817117058169,0.8590466978336391,0.3149216344395557
0_0_0_10_14_8,-26.0,10,0.9571428571428571,0.04285714285714287,0.0,0.7857142857142858,0.21428571428571427,0.0,0.8228571428571427,0.17714285714285713,0.0,0.13428571428571434,0.0,-0.03714285714285692,0.0,0.04571428571428572,0.07333333333333333,0.44233825788379877,0.8097049671760848,0.2683383871770798
0_0_0_10_14_16,-12.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9272727272727272,0.0,0.18181818181818182,0.9688550417271824,0.21910330853361748
0_0_0_10_14_16,-13.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9272727272727272,0.0,0.18181818181818182,0.9688728362402034,0.2187721112885899
0_0_0_10_14_16,-14.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9246753246753247,0.0,0.2727272727272727,0.9689617892872189,0.21848233347032223
0_0_0_10_14_16,-15.0,11,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.09090909090909094,0.0,0.0,0.922077922077922,0.0,0.2727272727272727,0.965955235260677,0.2064944978778027
0_0_0_10_14_16,-16.0,11,0.01038961038961039,0.9896103896103896,0.8181818181818182,0.0,1.0,1.0,0.0,1.0,1.0,0.01038961038961039,0.18181818181818177,0.0,0.0,0.922077922077922,0.0,0.2727272727272727,0.9655796325799294,0.2066200273612161
0_0_0_10_14_16,-17.0,11,0.04675324675324675,0.9532467532467532,0.45454545454545453,0.0,1.0,1.0,0.0,1.0,1.0,0.04675324675324675,0.5454545454545454,0.0,0.0,0.922077922077922,0.0,0.2727272727272727,0.965274912969122,0.2086598463227401
0_0_0_10_14_16,-18.0,11,0.11948051948051944,0.8805194805194805,0.09090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.11688311688311684,0.8181818181818181,0.0,0.0,0.9272727272727272,0.0,0.45454545454545453,0.9714164794029864,0.18575667731181048
0_0_0_10_14_16,-19.0,11,0.2363636363636363,0.7636363636363637,0.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.2337662337662337,0.9090909090909091,0.0,0.0,0.8597402597402596,0.0,1.0,0.9712887949042023,0.18483972393317646
0_0_0_10_14_16,-20.0,11,0.35844155844155845,0.6415584415584417,0.0,0.015584415584415584,0.9844155844155845,0.6363636363636364,0.03116883116883117,0.9688311688311688,0.2727272727272727,0.32727272727272727,0.2727272727272727,-0.015584415584415584,-0.36363636363636365,0.7688311688311689,0.0,1.0,0.9695701838436129,0.19073232741808843
0_0_0_10_14_16,-21.0,11,0.4961038961038961,0.5038961038961038,0.0,0.07012987012987014,0.92987012987013,0.2727272727272727,0.10389610389610389,0.8961038961038962,0.09090909090909091,0.3922077922077922,0.09090909090909091,-0.03376623376623375,-0.1818181818181818,0.6051948051948052,0.0,0.9597402597402597,0.9639774940280997,0.1819633203550521
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.19740259740259739,0.8025974025974026,0.09090909090909091,0.40519480519480533,0.09090909090909091,-0.01818181818181816,0.09090909090909091,0.41558441558441556,0.00505050505050505,0.9246071777215696,0.8817410267287539,0.1864979769150361
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.2675324675324675,0.0,0.3194805194805194,0.6805194805194805,0.0,0.3766233766233766,0.6233766233766234,0.0,0.3558441558441559,0.0,-0.05714285714285716,0.0,0.24675324675324675,0.009090909090909092,0.8179707154790581,0.790962237310731,0.25917228311120816
0_0_0_10_14_16,-24.0,11,0.8337662337662338,0.16623376623376626,0.0,0.509090909090909,0.49090909090909096,0.0,0.6077922077922078,0.3922077922077923,0.0,0.22597402597402605,0.0,-0.09870129870129873,0.0,0.14025974025974028,0.011363636363636364,0.7022420629869562,0.7701101077696411,0.2185551498845676
0_0_0_10_14_16,-25.0,11,0.9116883116883119,0.08831168831168833,0.0,0.6441558441558443,0.35584415584415585,0.0,0.6883116883116883,0.3116883116883117,0.0,0.22337662337662356,0.0,-0.04415584415584406,0.0,0.05714285714285714,0.048484848484848485,0.5819787132394947,0.4738570516905739,0.2819216748208088
0_0_0_10_14_16,-26.0,11,0.9506493506493506,0.04935064935064937,0.0,0.7792207792207794,0.2207792207792208,0.0,0.8259740259740259,0.174025974025974,0.0,0.12467532467532472,0.0,-0.04675324675324655,0.0,0.03896103896103897,0.0606060606060606,0.44105941963562284,0.749580923700596,0.14626808264435248
0_0_0_10_14_32,-12.0,7,0.061224489795918366,0.9387755102040816,0.8571428571428571,0.012244897959183673,0.9877551020408164,0.8571428571428571,0.024489795918367346,0.9755102040816326,0.8571428571428571,0.03673469387755102,0.0,-0.012244897959183673,0.0,0.8244897959183674,0.0,0.7142857142857143,0.9330164239852872,0.3952605137191632
0_0_0_10_14_32,-13.0,7,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.024489795918367346,0.9755102040816326,0.8571428571428571,0.03265306122448979,0.9673469387755101,0.8571428571428571,0.04489795918367347,0.0,-0.008163265306122446,0.0,0.8040816326530613,0.0,0.8095238095238094,0.9330185099024314,0.39470375958683374
0_0_0_10_14_32,-14.0,7,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.03673469387755102,0.963265306122449,0.8571428571428571,0.03673469387755102,0.963265306122449,0.8571428571428571,0.0653061224489796,0.0,0.0,0.0,0.7551020408163266,0.0,0.8322981366459627,0.9204263858791286,0.4365312135227938
0_0_0_10_14_32,-15.0,7,0.12653061224489795,0.873469387755102,0.8571428571428571,0.05306122448979592,0.946938775510204,0.8571428571428571,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.048979591836734684,0.0,-0.024489795918367342,0.0,0.746938775510204,0.0,0.8241758241758241,0.8023022302447761,0.46937436091365947
