dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-18.0,ordinary_fft,33,105,0,2,0.3142857142857143
0_0_0_10_14_32,-18.0,savaux,31,105,0,0,0.29523809523809524
0_0_0_10_14_32,-18.0,branch_gls,30,105,1,0,0.2857142857142857
0_0_0_10_14_32,-18.0,savaux_dual,31,105,0,0,0.29523809523809524
0_0_0_10_14_32,-18.0,proposed,30,105,1,0,0.2857142857142857
0_0_0_10_14_32,-20.0,ordinary_fft,47,105,0,12,0.44761904761904764
0_0_0_10_14_32,-20.0,savaux,35,105,0,0,0.3333333333333333
0_0_0_10_14_32,-20.0,branch_gls,33,105,2,0,0.3142857142857143
0_0_0_10_14_32,-20.0,savaux_dual,35,105,0,0,0.3333333333333333
0_0_0_10_14_32,-20.0,proposed,32,105,3,0,0.3047619047619048
0_0_0_10_14_32,-22.0,ordinary_fft,72,105,1,29,0.6857142857142857
0_0_0_10_14_32,-22.0,savaux,44,105,0,0,0.41904761904761906
0_0_0_10_14_32,-22.0,branch_gls,46,105,1,3,0.4380952380952381
0_0_0_10_14_32,-22.0,savaux_dual,44,105,0,0,0.41904761904761906
0_0_0_10_14_32,-22.0,proposed,44,105,2,2,0.41904761904761906
