branch_dimension,branch_covariance_count,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_covariance_count,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,packet_index,cfo_int,cfo_frac,offpacket_windows,branch_gls_active,branch_gate_diagonal_cv,branch_gate_mean_abs_correlation,min_branch_correlation,min_branch_diagonal_cv
4,1024,128,0.051414756060526125,0.08293050201575476,0.2549961504212204,2,1024,128,0.07770032286806491,0.07457339615977351,0.21004931185409947,collector_low2_cr47,-22.0,42,0,-26,0.020865176277223365,128,1,0.024176052748728777,0.08656337442042572,0.05,0.05
4,1024,128,0.051382707019182766,0.08307098456185016,0.25078514488859166,2,1024,128,0.07792554234705343,0.07456629976457496,0.2200144430257611,collector_low2_cr47,-22.0,42,1,-25,-0.020838894605293777,128,1,0.0112712771569718,0.08940125799102618,0.05,0.05
4,1024,128,0.05126586871987293,0.08315748390496461,0.241632591429133,2,1024,128,0.0780559378307785,0.07478834762314959,0.2191571410327202,collector_low2_cr47,-22.0,42,3,-25,-0.09652737627074924,128,1,0.01191800797875232,0.0900136105122966,0.05,0.05
4,1024,128,0.051242367188628554,0.08308540736969208,0.23503819932484055,2,1024,128,0.07805723908112877,0.07511789626488384,0.21149816993267595,collector_low2_cr47,-22.0,42,4,-26,-0.13591117540953135,128,1,0.021021118772860514,0.08828429887469284,0.05,0.05
4,1024,128,0.05124533430731512,0.08310968910145988,0.2330290813319733,2,1024,128,0.07799054792478446,0.07543066526361271,0.21264210831785638,collector_low2_cr47,-22.0,42,5,-26,-0.17355630584947285,128,1,0.020402821073050244,0.08867975235498708,0.05,0.05
4,1024,128,0.051275911088619314,0.0831273812063911,0.23132665245907036,2,1024,128,0.07796759804247327,0.0757198355510964,0.21199749634735862,collector_low2_cr47,-22.0,42,6,-26,-0.21083172214856852,128,1,0.01983855523701497,0.08903392610878601,0.05,0.05
4,1024,128,0.05131971255359013,0.08314002170963025,0.23324003287131054,2,1024,128,0.07790192209360156,0.07599484986471709,0.2097431311883826,collector_low2_cr47,-22.0,42,7,-26,-0.24509886588014693,128,1,0.019346970182704783,0.08931591424064739,0.05,0.05
4,1024,128,0.05138387436821402,0.08314164746382165,0.23460359367468933,2,1024,128,0.07789986133309795,0.07624933124501468,0.20535790394707684,collector_low2_cr47,-22.0,42,8,-26,-0.28294710052541827,128,1,0.018815333597138176,0.08956960753667409,0.05,0.05
4,1024,128,0.05153925224233574,0.0831510652707102,0.23476572828040848,2,1024,128,0.07767677400770394,0.0766504444029652,0.21102841616239082,collector_low2_cr47,-22.0,42,10,-26,-0.3552365785641136,128,1,0.01778064506213502,0.08986660095821813,0.05,0.05
4,1024,128,0.051627385460750325,0.08314424037607912,0.2340442607327196,2,1024,128,0.07751609293981368,0.0767730826805047,0.21683813457411913,collector_low2_cr47,-22.0,42,11,-26,-0.38969380390807457,128,1,0.017277564592780167,0.08992118092627603,0.05,0.05
