packet_index,frame_index,event_index,payload_len,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,center_symbol_accuracy,multi_raw_ser,multi_symbol_ser,multi_symbol_accuracy,selected_raw_ser,selected_symbol_ser,selected_symbol_accuracy,v3_raw_ser,v3_symbol_ser,v3_symbol_accuracy,phase_line_raw_ser,phase_line_symbol_ser,phase_line_symbol_accuracy,phase_line_ser_gain_vs_v3,phase_line_locked_symbol_count,phase_line_uncertain_symbol_count,phase_line_false_lock_count,phase_line_locked_with_gt_count,phase_line_false_lock_rate,phase_line_uncertain_candidate_hits,phase_line_uncertain_candidate_total,phase_line_uncertain_candidate_recall,phase_line_phase_rmse_pi,phase_line_phase_r2,phase_line_error,v3_phase_rmse_pi,v3_phase_r2,center_crc_valid,center_payload_hex,center_decode_error,multi_crc_valid,multi_payload_hex,multi_decode_error,v3_crc_valid,v3_payload_hex,v3_decode_error,phase_line_crc_valid,phase_line_payload_hex,phase_line_decode_error,selected_crc_valid,dataset,target_snr_db
1,0,1,33,35,35,0.6857142857142857,0.6857142857142857,0.3142857142857143,0.2,0.2,0.8,0.37142857142857144,0.37142857142857144,0.6285714285714286,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.37142857142857144,0.37142857142857144,0.6285714285714286,-0.3142857142857143,6,29,0,6,0.0,27,29,0.9310344827586207,0.12610314597056937,0.9388757275895747,,0.10507512767892717,0.9518774643819621,0,4004734473202201580120e3e5aee089f043719cf0b464f37f901c438bf5423112,,0,4064112033002200581031323374317637b0393a3bb43db637404142c378563412,,0,406433003100020058303132333435363738393a3bbc3db6374041424378563412,,0,4064112033000200583031222224242677b8393a7bb43dbe3740494643385214a1,,0,0_0_0_10_14_16,-22.0
2,1,2,33,35,35,0.7714285714285715,0.7714285714285715,0.22857142857142854,0.2571428571428571,0.2571428571428571,0.7428571428571429,0.17142857142857143,0.17142857142857143,0.8285714285714285,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.17142857142857143,0.17142857142857143,0.8285714285714285,-0.08571428571428572,15,20,0,15,0.0,19,20,0.95,0.13865221949823733,0.9807133010274999,,0.1083435664821275,0.9679179449111268,0,40547672154593166082ef7062647023737d796e2abd04f246aac5aaca629cdf63,,0,406431001102010058212132333431363338393a3b3c2c3e3e5160605158763613,,0,404433221100030058303132333435363738393a3b3c3d3e3f4061604158763613,,0,406411223320010058212132333435363738393a3b3c3d3e3f404142426947b59b,,0,0_0_0_10_14_16,-22.0
3,2,3,33,35,35,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.22857142857142856,0.22857142857142856,0.7714285714285715,0.45714285714285713,0.45714285714285713,0.5428571428571429,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.45714285714285713,0.45714285714285713,0.5428571428571429,-0.34285714285714286,10,25,0,10,0.0,23,25,0.92,0.14906067012793864,0.9722673445951999,,0.13976391171638974,0.9819002968273324,0,40e4f6505894084458616cffd17abfd63338393b3a5d5d0a2f342471011f731455,,0,4024125047330200583031b29334bdbe3f38393a3b3c797e7f4441424378562402,,0,406413001326060058303132133435343538393a3b3c3d3e3f4041424378563412,,0,4054001198918f08d830315a54747160171b09192b3e7c7b3b15c14243f8deac8b,,0,0_0_0_10_14_16,-22.0
5,3,5,33,35,35,0.5714285714285714,0.5714285714285714,0.4285714285714286,0.2,0.2,0.8,0.5714285714285714,0.5714285714285714,0.4285714285714286,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.5714285714285714,0.5714285714285714,0.4285714285714286,-0.42857142857142855,11,24,0,11,0.0,21,24,0.875,0.08260214981303275,0.9911432920663941,,0.15634761528518526,0.9723962048651568,0,40d4ae2e090d2f205830112022253436d737292e71203526af40016853f3b73496,,0,40543333000107005830313233343536773c393e7b283c2eaf584046077c56b412,,0,4044323310110600583031323334353677387d7a7f3c3d3637404146077c563412,,0,40d407ae80c91f136830133333703572773c797a7bacb426afd0484c61dc98fa83,,0,0_0_0_10_14_16,-22.0
6,4,6,33,35,35,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.22857142857142856,0.22857142857142856,0.7714285714285715,0.3142857142857143,0.3142857142857143,0.6857142857142857,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.3142857142857143,0.3142857142857143,0.6857142857142857,-0.2571428571428571,11,24,0,11,0.0,23,24,0.9583333333333334,0.10062337975438282,0.9923164386224695,,0.10265175634097562,0.9909260936598565,0,40c4318a39a89fa26b3030aaa3a5ad3faf29b0bba335ccf766770e1bca7c460470,,0,40443322110027225a301332373031763339393a3b3cb5b63f4041424378563434,,0,40443322110027225a301332333435363738393a3b3c3d3e3f4041424378563412,,0,404413230231060078301320373131663338393a3bbcb5be37c80902473c527412,,0,0_0_0_10_14_16,-22.0
8,5,8,33,35,35,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.17142857142857143,0.17142857142857143,0.8285714285714285,0.2,0.2,0.8,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.2,0.2,0.8,-0.17142857142857143,18,17,0,18,0.0,16,17,0.9411764705882353,0.16691478844857538,0.9824493733871534,,0.13709409656643087,0.985662734243721,0,404433221100894810607126777131267671a523ee04e13e84de02725d92d6705a,,0,404433221100090058303132337035723338393a3b1c0e2d2f514200457e703612,,0,404433221100090058303132773035723738393a3b3c3d3e3f4041424378563412,,0,404433221100090058303132773471363338393a3b1c1f3c3f404300457e701630,,0,0_0_0_10_14_16,-22.0
9,6,9,33,35,35,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.34285714285714286,0.34285714285714286,0.6571428571428571,0.3142857142857143,0.3142857142857143,0.6857142857142857,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.3142857142857143,0.3142857142857143,0.6857142857142857,-0.2,14,21,0,14,0.0,20,21,0.9523809523809523,0.14768062757591516,0.9810210231659728,,0.1800027149528703,0.9793538998901766,0,40047a2b40c923025800037072fffcb738a82d7efa3db1f26ec5e05bd9535dff1c,,0,40443b2299000200583031322334353637b9312a333c283f3a45c148cb705e741a,,0,40443b229900020058303132333435363738393a3b3c3d3e3f40c14acb705e7c12,,0,4044b3aa99880a0058202112003724163438393a3b2c386f3e1041624158763656,,0,0_0_0_10_14_16,-22.0
10,7,10,33,35,35,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.2,0.2,0.8,0.17142857142857143,0.17142857142857143,0.8285714285714285,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.17142857142857143,0.17142857142857143,0.8285714285714285,-0.14285714285714285,13,22,0,13,0.0,22,22,1.0,0.1592637539375491,0.9809472359316346,,0.15937192788394663,0.9809257451082648,0,405433a218101be83668d1b1e66c68721a5e21523bbf353ebfc8a9a4a9b0fa1022,,0,4044332211008b89d8b8207b77707132131a391a3b3e3d3e3f4041424378563410,,1,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0,4044332211008b88d8b831fafbb0b9f63738393a3b3c3d3e3f400106473c123012,,0,0_0_0_10_14_16,-22.0
11,8,11,33,35,35,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.2,0.2,0.8,0.0,0.0,1.0,0.2,0.2,0.8,-0.2,17,18,0,17,0.0,18,18,1.0,0.4455760895965174,0.9035171138961401,,0.4975690539647466,0.8785137490308266,0,40142266410008045c70315231745554f7f47f1a353cbdbeb740c1060bfc969430,,0,4044332211000c401c343132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0,40043726110408401c343132333435363738393a3b3c3d3e3f40c186833492b012,,0,0_0_0_10_14_16,-22.0
12,9,12,33,35,35,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.0,0.0,1.0,0.11428571428571428,0.11428571428571428,0.8857142857142857,-0.11428571428571428,24,11,0,24,0.0,11,11,1.0,0.4394907254919281,0.6203910858612716,,0.5687520224091986,0.8043613252621025,0,4044332211000d027a32337237743132b3303932bb2c2c3e2e4161604378767470,,0,4044332211000d0258303132333031363738393a3b3c3d3e3f4041424378563412,,1,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,,0,4044332211000d025830313233303136171a1b1a3b3c3d3e3f4041424bf8de3412,,0,0_0_0_10_14_16,-22.0
