packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,gated_mean_pattern_err,gated_mean_pattern_ser,gated_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_stable_pattern_err,gated_stable_pattern_ser,gated_stable_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_consensus_pattern_err,gated_consensus_pattern_ser,gated_consensus_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,dataset,snr_db,seed
0,0,0,35,0.9714285714285714,2.6285714285714286,32,random_only,random_017,0.19755802280262516,0.061591734343416506,0.22543062713720174,0.7971109199518491,7,0.2,20,0.5714285714285714,20,1,14,7,0.2,2,0,0,6,0.17142857142857143,2,1,0,7,0.2,3,1,1,5,0.14285714285714285,2,2,0,7,0.2,1,0,0,7,0.2,0,0,0,7,0.2,0,0,0,0_0_0_10_14_8,-25.0,1
0,0,0,35,0.9142857142857143,7.942857142857143,32,random_only,random_017,0.20703124650515242,0.06060283403765296,0.22228165736493086,0.7700570657846798,11,0.3142857142857143,28,0.8,25,0,17,14,0.4,8,0,3,13,0.37142857142857144,7,1,3,14,0.4,6,0,3,12,0.34285714285714286,2,0,1,11,0.3142857142857143,1,0,0,12,0.34285714285714286,2,0,1,11,0.3142857142857143,0,0,0,0_0_0_10_14_8,-26.0,1
0,0,0,35,0.9714285714285714,2.342857142857143,32,random_only,random_024,0.2261530181163623,0.06485783599001023,0.23793422169755388,0.782419411076135,8,0.22857142857142856,22,0.6285714285714286,21,0,14,9,0.2571428571428571,5,1,2,10,0.2857142857142857,8,1,3,10,0.2857142857142857,8,1,3,7,0.2,2,1,0,10,0.2857142857142857,4,0,2,8,0.22857142857142856,0,0,0,8,0.22857142857142856,0,0,0,0_0_0_10_14_8,-25.0,2
0,0,0,35,0.9714285714285714,6.4,32,random_only,random_024,0.23861714022496494,0.06494537629379547,0.23858385254479875,0.7608967965508617,14,0.4,26,0.7428571428571429,23,0,12,15,0.42857142857142855,6,1,2,16,0.45714285714285713,8,0,2,15,0.42857142857142855,7,0,1,14,0.4,2,0,0,14,0.4,3,0,0,14,0.4,1,0,0,14,0.4,1,0,0,0_0_0_10_14_8,-26.0,2
0,0,0,35,0.9714285714285714,2.142857142857143,32,random_only,random_009,0.19749265184465306,0.06280758011710862,0.22975744942219478,0.7907488024633693,8,0.22857142857142856,22,0.6285714285714286,24,3,17,9,0.2571428571428571,5,1,2,10,0.2857142857142857,2,0,2,10,0.2857142857142857,2,0,2,8,0.22857142857142856,0,0,0,10,0.2857142857142857,3,0,2,8,0.22857142857142856,0,0,0,8,0.22857142857142856,0,0,0,0_0_0_10_14_8,-25.0,42
0,0,0,35,0.9428571428571428,6.171428571428572,32,random_only,random_031,0.21901351041527173,0.06308828160003795,0.23046985697035458,0.7672717271641177,14,0.4,27,0.7714285714285715,25,1,14,13,0.37142857142857144,4,1,0,13,0.37142857142857144,2,1,0,13,0.37142857142857144,2,1,0,13,0.37142857142857144,2,1,0,13,0.37142857142857144,2,1,0,14,0.4,1,0,0,14,0.4,0,0,0,0_0_0_10_14_8,-26.0,42
1,0,1,35,1.0,1.2,32,random_only,random_014,0.19889586671244264,0.06528981436744404,0.23996293772309762,0.7952700629015977,5,0.14285714285714285,21,0.6,21,1,17,9,0.2571428571428571,5,0,4,9,0.2571428571428571,5,0,4,9,0.2571428571428571,5,0,4,6,0.17142857142857143,1,0,1,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,0_0_0_10_14_16,-25.0,1
1,0,1,35,1.0,2.3714285714285714,32,random_only,random_014,0.21480292447269284,0.06557369692734524,0.24048020294409617,0.7763711922748135,13,0.37142857142857144,26,0.7428571428571429,24,0,13,15,0.42857142857142855,7,0,2,12,0.34285714285714286,7,2,1,12,0.34285714285714286,7,2,1,13,0.37142857142857144,2,0,0,15,0.42857142857142855,6,0,2,13,0.37142857142857144,0,0,0,13,0.37142857142857144,0,0,0,0_0_0_10_14_16,-26.0,1
1,0,1,35,1.0,2.6,32,random_only,random_015,0.21495388120659537,0.06120060930847397,0.22516542377631057,0.7666966600614529,9,0.2571428571428571,26,0.7428571428571429,23,0,17,13,0.37142857142857144,11,2,6,13,0.37142857142857144,10,1,5,12,0.34285714285714286,9,1,4,9,0.2571428571428571,2,0,0,10,0.2857142857142857,8,2,3,9,0.2571428571428571,1,0,0,9,0.2571428571428571,0,0,0,0_0_0_10_14_16,-25.0,2
1,0,1,35,0.9142857142857143,6.685714285714286,32,random_only,random_012,0.23261663821970763,0.05953444023686443,0.21862979715270128,0.7399710954968466,16,0.45714285714285713,27,0.7714285714285715,24,0,11,19,0.5428571428571428,16,1,4,17,0.4857142857142857,15,2,3,18,0.5142857142857142,15,1,3,17,0.4857142857142857,6,0,1,18,0.5142857142857142,15,1,3,16,0.45714285714285713,2,0,0,16,0.45714285714285713,0,0,0,0_0_0_10_14_16,-26.0,2
