snr_label,added_snr_db,noise_power_db_relative,seed,packet_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,savaux_bin,savaux_correct,savaux_gt_rank,savaux_gt_margin_db,litenap_single_bin,litenap_single_correct,litenap_single_gt_rank,litenap_single_gt_margin_db,litenap_savaux_k1_bin,litenap_savaux_k1_correct,litenap_savaux_k1_gt_rank,litenap_savaux_k1_gt_margin_db,litenap_savaux_k2_bin,litenap_savaux_k2_correct,litenap_savaux_k2_gt_rank,litenap_savaux_k2_gt_margin_db,savaux_phase_bin,savaux_phase_correct,savaux_phase_gt_rank,savaux_phase_gt_margin_db,savaux_phase_alias_bin,savaux_phase_candidate_bins,savaux_phase_phase_jump_scores,litenap_single_phase_bin,litenap_single_phase_correct,litenap_single_phase_gt_rank,litenap_single_phase_gt_margin_db,litenap_single_phase_alias_bin,litenap_single_phase_candidate_bins,litenap_single_phase_phase_jump_scores,litenap_savaux_k1_phase_bin,litenap_savaux_k1_phase_correct,litenap_savaux_k1_phase_gt_rank,litenap_savaux_k1_phase_gt_margin_db,litenap_savaux_k1_phase_alias_bin,litenap_savaux_k1_phase_candidate_bins,litenap_savaux_k1_phase_phase_jump_scores,litenap_savaux_k2_phase_bin,litenap_savaux_k2_phase_correct,litenap_savaux_k2_phase_gt_rank,litenap_savaux_k2_phase_gt_margin_db,litenap_savaux_k2_phase_alias_bin,litenap_savaux_k2_phase_candidate_bins,litenap_savaux_k2_phase_phase_jump_scores
clean,,,0,0,0,8,623528,803,803,1,1,24.635676232833536,35,0,1,0.0,803,1,1,3.511639796748746,803,1,1,6.591010208824516,803,1,1,24.635676232833536,35,35|291|547|803,0.00691467811|0.0112823931|0.00334673101|495.743974,803,1,1,0.0,35,35|291|547|803,0.29821682|2.95092754|27.4035894|185.744459,803,1,1,3.511639796748746,35,35|291|547|803,46.7081865|196.42116|208.352876|118.897635,803,1,1,6.591010208824516,35,35|291|547|803,34.1445643|0.0105548713|148.517714|235.752947
clean,,,0,0,1,9,627624,711,711,1,1,22.358258866722736,199,0,1,0.0,711,1,1,4.225390491039958,711,1,1,7.267186015945254,711,1,1,22.358258866722736,199,199|455|711|967,0.00200718456|0.00235243571|497.456083|0.00559131822,711,1,1,0.0,199,199|455|711|967,7.17440293|49.7301322|202.083244|18.2393624,711,1,1,4.225390491039958,199,199|455|711|967,107.008704|136.423765|118.359717|1.54492071,711,1,1,7.267186015945254,199,199|455|711|967,0.0132658286|101.153296|240.967379|1.18243443
clean,,,0,0,2,10,631720,922,922,1,1,26.779622436199237,154,0,1,0.0,922,1,1,3.471656586046306,922,1,1,6.512557736777075,922,1,1,26.779622436199237,154,154|410|666|922,0.0123792146|0.00268908322|0.00719080746|506.221936,922,1,1,0.0,154,154|410|666|922,5.77379938|4.56759836|22.6464317|65.1841652,922,1,1,3.471656586046306,154,154|410|666|922,317.950815|395.532683|402.063391|144.162398,922,1,1,6.512557736777075,154,154|410|666|922,193.303065|0.00560052741|251.586336|267.717463
clean,,,0,0,3,11,635816,718,718,1,1,23.877205245897663,206,0,1,0.0,718,1,1,4.248495645439799,718,1,1,7.247499899293923,718,1,1,23.877205245897663,206,206|462|718|974,0.00223026732|0.0105457205|302.348133|0.0587300118,718,1,1,0.0,206,206|462|718|974,12.8582137|57.7396797|107.778813|11.2118694,718,1,1,4.248495645439799,206,206|462|718|974,112.31159|138.132751|75.8535506|1.68790313,718,1,1,7.247499899293923,206,206|462|718|974,0.00310153444|99.5123929|150.499967|0.702180041
clean,,,0,0,4,12,639912,756,756,1,1,24.403250830322662,244,0,1,0.0,756,1,1,3.8260928731413406,756,1,1,6.852777806509982,756,1,1,24.403250830322662,244,244|500|756|1012,0.0435436495|0.0132975933|235.147023|0.000339713237,756,1,1,0.0,244,244|500|756|1012,7.56229478|22.5337545|36.888347|0,756,1,1,3.8260928731413406,244,244|500|756|1012,145.707703|165.647592|59.0134401|5.08322701,756,1,1,6.852777806509982,244,244|500|756|1012,0.00387381898|116.691299|122.361826|3.86168822
clean,,,0,0,5,13,644008,109,109,1,1,25.834808373783783,109,1,1,0.0,109,1,1,3.7574289364857294,109,1,1,6.765974241105628,109,1,1,25.834808373783783,109,109|365|621|877,31.7791094|0.0382269946|0.00784973865|0.00780295789,365,0,1,0.0,109,109|365|621|877,17.7959301|39.0322586|20.0667585|12.9730176,109,1,1,3.7574289364857294,109,109|365|621|877,11.0236413|269.864599|302.334471|231.202725,109,1,1,6.765974241105628,109,109|365|621|877,19.531994|180.698119|0.00788632175|155.499784
clean,,,0,0,6,14,648104,932,932,1,1,24.752081478410016,164,0,1,0.0,932,1,1,3.3936502358098615,932,1,1,6.432978854923297,932,1,1,24.752081478410016,164,164|420|676|932,0.0171332535|0.00863519622|0.00724624571|473.729239,676,0,1,0.0,164,164|420|676|932,22.4173747|24.7457909|29.9977374|12.0820447,932,1,1,3.3936502358098615,164,164|420|676|932,343.976516|408.459174|426.664542|131.406884,932,1,1,6.432978854923297,164,164|420|676|932,208.099964|0.00249972689|261.461467|252.766451
clean,,,0,0,7,15,652200,468,468,1,1,23.662753598716193,212,0,1,0.0,468,1,1,4.137311363096937,468,1,1,7.127405972933315,468,1,1,23.662753598716193,212,212|468|724|980,0.0166801791|148.145021|0.0085407247|0.0158034242,724,0,1,0.0,212,212|468|724|980,19.0056319|16.4571252|28.9643451|0.200070437,468,1,1,4.137311363096937,212,212|468|724|980,45.5009597|35.4242859|31.273758|4.21872672,468,1,1,7.127405972933315,212,212|468|724|980,34.4459655|75.826049|24.1211189|0.0334950354
clean,,,0,0,8,16,656296,89,89,1,1,23.285566407715184,89,1,1,0.0,89,1,1,3.702426002270307,89,1,1,6.712869061596377,89,1,1,23.285566407715184,89,89|345|601|857,7.26810923|0.0261425587|0.00421813191|0.0098805705,345,0,1,0.0,89,89|345|601|857,5.25226866|96.3444978|79.5726551|53.8837953,89,1,1,3.702426002270307,89,89|345|601|857,5.14560074|290.76509|323.937971|272.283228,89,1,1,6.712869061596377,89,89|345|601|857,8.44240607|191.934291|0.00941037067|178.851498
clean,,,0,0,9,17,660392,713,713,1,1,24.9084842164263,201,0,1,0.0,713,1,1,4.1681721418279025,713,1,1,7.177621809907045,713,1,1,24.9084842164263,201,201|457|713|969,0.00403157468|0.0175201443|73.0656688|0.0790212723,457,0,1,0.0,201,201|457|713|969,34.8790215|55.6472926|7.74211084|11.7129916,713,1,1,4.1681721418279025,201,201|457|713|969,106.740446|132.672268|22.7752583|0.857157484,713,1,1,7.177621809907045,201,201|457|713|969,0.00601121354|95.5961225|41.2106934|0.247945446
