dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,selected,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_16,selected,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_16,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,selected,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,selected,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,multi,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_16,multi,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_16,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,multi,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,multi,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,selected,multi,SER<=10%,-22.0,-21.273809523809526,0.7261904761904745,ok
0_0_0_10_14_16,selected,multi,accuracy>=90%,-22.0,-21.273809523809526,0.7261904761904745,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=90%,-19.55,-19.03333333333333,0.5166666666666693,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=80%,-20.05,-19.4,0.6500000000000021,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=50%,-20.875,-20.375,0.5,ok
0_0_0_10_14_32,selected,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,selected,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_32,multi,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,multi,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,CRC/PRR>=80%,-20.4,-19.4,1.0,ok
0_0_0_10_14_32,selected,multi,CRC/PRR>=50%,-21.75,-20.75,1.0,ok
0_0_0_10_14_8,selected,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_8,selected,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_8,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_8,selected,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,selected,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_8,multi,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_8,multi,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_8,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_8,multi,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,multi,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_8,selected,multi,SER<=10%,-21.833333333333332,-20.633333333333333,1.1999999999999993,ok
0_0_0_10_14_8,selected,multi,accuracy>=90%,-21.833333333333332,-20.633333333333333,1.1999999999999993,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=90%,-19.0,-18.0,1.0,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=80%,-20.0,-19.0,1.0,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=50%,-21.0,-21.0,0.0,ok
mean_of_datasets,selected,center,SER<=10%,,,,missing_threshold
mean_of_datasets,selected,center,accuracy>=90%,,,,missing_threshold
mean_of_datasets,selected,center,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,selected,center,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,selected,center,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,multi,center,SER<=10%,,,,missing_threshold
mean_of_datasets,multi,center,accuracy>=90%,,,,missing_threshold
mean_of_datasets,multi,center,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,multi,center,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,multi,center,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,selected,multi,SER<=10%,-21.691886510701842,-20.612085308056873,1.079801202644969,ok
mean_of_datasets,selected,multi,accuracy>=90%,-21.691886510701842,-20.612085308056873,1.079801202644969,ok
mean_of_datasets,selected,multi,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,selected,multi,CRC/PRR>=80%,-20.093397745571657,-19.270042194092827,0.82335555147883,ok
mean_of_datasets,selected,multi,CRC/PRR>=50%,-21.256410256410255,-20.601386481802425,0.6550237746078302,ok
