packet_index,frame_index,event_index,payload_len,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,center_symbol_accuracy,multi_raw_ser,multi_symbol_ser,multi_symbol_accuracy,selected_raw_ser,selected_symbol_ser,selected_symbol_accuracy,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,mean_selected_offset_coherence,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,center_crc_valid,center_payload_hex,center_decode_error,multi_crc_valid,multi_payload_hex,multi_decode_error,selected_crc_valid,selected_payload_hex,selected_decode_error,dataset,target_snr_db
0,0,0,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9832956081219659,0.9166576243760628,0.14112884447565677,26,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
1,1,1,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9872208970673447,0.8955957555357442,0.12130247823774018,26,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
2,2,2,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9863482792291689,0.8800089579176578,0.13241977933342894,26,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
3,3,3,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,33,2,0.9428571428571428,0,33,0.0,2,2,1.0,0.9835544476846838,0.8984329268481699,0.13483858147309474,26,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
4,4,4,33,35,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9809897641008917,0.9117474702251672,0.11766901051261276,26,0,404433221100170058303132333435363730393a333c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
5,5,5,33,35,35,0.4,0.4,0.6,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,22,13,0.6285714285714286,0,22,0.0,13,13,1.0,0.9673703464102841,0.945377628794306,0.35855283972774044,26,0,4044398811aa52d9887c74bf33de39501f181938393c3d3e3f404152437957341a,,0,404411023122180058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
6,6,6,33,35,35,0.34285714285714286,0.34285714285714286,0.6571428571428571,0.0,0.0,1.0,0.0,0.0,1.0,23,12,0.6571428571428571,0,23,0.0,12,12,1.0,0.975074880566717,0.7878802444006254,0.42218390409350975,26,0,404433221100590058307116f73673f83538397a3f3c3d3e3f40313cf2d6b03542,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
7,7,7,33,35,35,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.0,0.0,1.0,0.0,0.0,1.0,28,7,0.8,0,28,0.0,7,7,1.0,0.9641064710318153,0.13569494426139583,0.547529097011864,26,0,4044332211001a0058303132111635343529383a2a3d3d3e3f4041424378563412,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
8,8,8,33,35,35,0.3142857142857143,0.3142857142857143,0.6857142857142857,0.0,0.0,1.0,0.0,0.0,1.0,16,19,0.45714285714285713,0,16,0.0,19,19,1.0,0.9725770654172178,0.7462473218184769,0.6254442121399801,26,0,4044332211001b0168130173773071323738393a3b3c3d2e3f4110b51f511b2a13,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
9,9,9,33,35,35,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.0,0.0,1.0,0.0,0.0,1.0,25,10,0.7142857142857143,0,25,0.0,10,10,1.0,0.9726453202261579,0.6907532098735236,0.6389226429038461,26,0,4044332211003c227a98993033343536371a3b1a1b3e3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
0,0,0,33,35,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9789323311580822,0.9149553249586994,0.14315867492888545,26,0,404433221100130058303132333435363738293b3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
1,1,1,33,35,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9837979833705712,0.8945923284949593,0.1221189465171757,26,0,404433221100140058303132333435363738393a3b3c3d3e3f404142437856b49a,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
2,2,2,33,35,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9828004433377493,0.8877442160331869,0.1442368728421257,26,0,404433221100150058303132333435363738393a3b3c3d3e3f40c14a4bf85e3412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
3,3,3,33,35,35,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.0,0.0,1.0,0.0,0.0,1.0,33,2,0.9428571428571428,0,33,0.0,2,2,1.0,0.9794859404154441,0.8952302987969996,0.13710345988185593,26,0,404433221100160058303132333435367738797a7b383d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
4,4,4,33,35,35,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9755163585373748,0.9108610699068316,0.1179472456111249,26,0,404473265144130058303132333435363730393a333c3d3e3f4041424378567412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
5,5,5,33,35,35,0.5714285714285714,0.5714285714285714,0.4285714285714286,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.02857142857142857,0.02857142857142857,0.9714285714285714,12,23,0.34285714285714286,0,12,0.0,23,23,1.0,0.9578999496651148,0.0022291298444897523,0.517703674973989,26,0,40547d9d44eb52d9887c74bf33de39501f181938399c173637c841524159553438,,0,4044110231229888d8b03132333435363738393a3b3c3d3e3f4041435378473512,,0,404433221100180058303132333435363738393a3b3c3d3e3f4041435378473512,,0_0_0_10_14_8,-19.0
6,6,6,33,35,35,0.4857142857142857,0.4857142857142857,0.5142857142857142,0.0,0.0,1.0,0.0,0.0,1.0,22,13,0.6285714285714286,0,22,0.0,13,13,1.0,0.9688775398692621,0.7883694929738518,0.42328523215832614,26,0,404433221100598858387116f73673f8b530a97337342c3f3f40313cf2d6b03542,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
7,7,7,33,35,35,0.3142857142857143,0.3142857142857143,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,23,12,0.6571428571428571,0,23,0.0,12,12,1.0,0.9554312098259449,0.1374587684831674,0.5473959081410509,26,0,4044332211001a01d9b1a9bb99163534352d783e6a797b3c3d264160615a743612,,0,4044332211001a0058303132333435363738393a3b3c3d3e3f406142417a563612,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
8,8,8,33,35,35,0.37142857142857144,0.37142857142857144,0.6285714285714286,0.0,0.0,1.0,0.0,0.0,1.0,23,12,0.6571428571428571,0,23,0.0,12,12,1.0,0.9655498480955436,0.7449083875629642,0.6266620081783388,26,0,4044bbaa9100130168130173773071323738393a3b3c3d2e3f4110b51f511b2a13,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
9,9,9,33,35,35,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,1.0,22,13,0.6285714285714286,0,22,0.0,13,13,1.0,0.9646465407409226,0.6925955655594682,0.6339423070699143,26,0,4044732255443c227a98993037743572371a3b1a1bbe3d363fc0494a4b78de3412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
0,0,0,33,35,35,0.17142857142857143,0.17142857142857143,0.8285714285714285,0.0,0.0,1.0,0.0,0.0,1.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9734162282968478,0.9126235892014216,0.1457745956907253,26,0,404433331101120058303122322535263738293b3b3c3d3e3f404142437856b49a,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
1,1,1,33,35,35,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.0,0.0,1.0,0.0,0.0,1.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9793164369106898,0.8929513975534726,0.1233754792512738,26,0,404433221100041059313173333435763738393a3b3c3d3e3f404102473856b49a,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
2,2,2,33,35,35,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9783000328578161,0.8867743039575656,0.1456376953097961,26,0,406433203302170058303132377431363738393a3b3c3d3e3f40c14a4bf85e3412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
3,3,3,33,35,35,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.0,0.0,1.0,0.0,0.0,1.0,33,2,0.9428571428571428,0,33,0.0,2,2,1.0,0.9743541992687991,0.8913367384944865,0.13982308238583935,26,0,404433221100160058303132331415167538797a7b383d3e3f4041624178563612,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
4,4,4,33,35,35,0.22857142857142856,0.22857142857142856,0.7714285714285715,0.0,0.0,1.0,0.0,0.0,1.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9688828358394279,0.9093177359081388,0.11870666908549969,26,0,404473265144130018343532331435143530393a331c3d1e1d6243424378567412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
5,5,5,33,35,35,0.6857142857142857,0.6857142857142857,0.3142857142857143,0.2571428571428571,0.2571428571428571,0.7428571428571429,0.08571428571428572,0.08571428571428572,0.9142857142857143,12,23,0.34285714285714286,0,12,0.0,20,23,0.8695652173913043,0.9376372914485911,0.0001885518831741262,0.5106551372282713,26,0,40547d9d44eb52db8a5c56bd32ce29511f181938399c173637c8415241d1dd3438,,0,4044198ab12a8888c8a031733310331017181938393c3d3e3f404107133c473512,,0,40441120110218005830313233343536371a391a1b3c3d3e3f4041435378473512,,0_0_0_10_14_8,-20.0
6,6,6,33,35,35,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.02857142857142857,0.02857142857142857,0.9714285714285714,13,22,0.37142857142857144,0,13,0.0,21,22,0.9545454545454546,0.9556748958911216,0.805906415811444,0.40447050511855603,26,0,40c43beeddcc5d8858387106e62662e9943089711736287b3b40313cf2d6b03542,,0,4044332211001900583031323bbc37bc3738393a3b3c3d3e3f4041424378563412,,0,404433221100190058303112333637343538393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
7,7,7,33,35,35,0.5714285714285714,0.5714285714285714,0.4285714285714286,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.9447405158356438,0.13929675407500797,0.5474357045200986,26,0,4044332211001a01d9b1a9bb99163534352d783e6af97bb43526c9f8f95aece79b,,0,4044332211001a0058303132333435363738393a3b3c3d3e3f406142417a563612,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
8,8,8,33,35,35,0.5428571428571428,0.5428571428571428,0.4571428571428572,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.0,0.0,1.0,21,14,0.6,0,21,0.0,14,14,1.0,0.9567958968940279,0.9301780744825987,0.3777155646753249,26,0,4044bbaa91001301681301f37730f93237383b3a3b1e3f2e1f4310b51f511b6a1b,,0,4044332211000b1148303033333435363738393a3b3c3d3e3f406160437a763612,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
