file_name,target_snr_db,signal_reference_power,added_noise_power,seed,cfo_correction_mode,frame_index,packet_index,event_index,payload_symbol_index,frame_symbol_index,start_sample,header_start_sample,sf,os_factor,cfo_int,cfo_frac,cfo_common_phase_rad,sto_frac,sfo_hat,gt_raw_fft_bin,gt_signed_fft_bin,noisy_argmax_bin,is_argmax_correct,gt_bin_rank,gt_bin_real,gt_bin_imag,gt_bin_amp,gt_bin_power,gt_bin_phase,gt_peak_energy_ratio,gt_to_argmax_power_db,selected_peak_amp,selected_peak_power,selected_peak_phase,selected_peak_margin_db,total_fft_energy,clean_gt_peak_amp,clean_gt_peak_phase,gt_bin_phase_unwrap,phase_linear_fit,phase_linear_residual,packet_phase_slope_pi_per_symbol,packet_phase_linear_r2,packet_phase_linear_rmse_pi,packet_residual_quad_r2
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,0,8,4305479,4272711,10,4,-25,0.05380236129609033,-1253.93265978802,0.45652793536834557,-0.006393837820049189,803,-221,130,0,618,-1.7739084959030151,0.12396763265132904,1.778234890497336,3.162119150161743,3.0718221931040035,0.0004983742629624487,-11.14230917650988,6.413639762886766,41.1347770690918,-2.4864728139042525,0.5315635757134265,6344.868475682102,4.231417297541388,1.6693542036528406,3.0718221931040035,3.5118239009627907,-0.4400017078587873,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,1,9,4309575,4272711,10,4,-25,0.05380236129609033,-1410.6742422615225,0.45652793536834557,-0.006393837820049189,711,-313,885,0,33,-2.8727779388427734,3.9527313709259033,4.886403419346739,23.876935958862305,2.199272226322256,0.0035947736250255533,-2.4562544011813974,6.483387959632516,42.03432083129883,-1.0292234348566158,0.7430279025396429,6642.125054172939,3.7235182745655724,1.2321217648862663,2.199272226322256,2.7514098004775813,-0.5521375741553252,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,2,10,4313671,4272711,10,4,-25,0.05380236129609033,-1567.415824735025,0.45652793536834557,-0.006393837820049189,922,-102,971,0,6,4.380106449127197,4.2772440910339355,6.122103357504705,37.48014831542969,0.7735172169507928,0.005444627663769586,-2.0099963381239,7.7161462362706414,59.538917541503906,0.49679388797410656,0.6369255939388884,6883.877214384265,3.442319170944263,0.7644718457499078,0.7735172169507928,1.9909956999923721,-1.2174784830415795,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,3,11,4317767,4272711,10,4,-25,0.05380236129609033,-1724.1574072085273,0.45652793536834557,-0.006393837820049189,718,-306,954,0,341,2.772627830505371,0.30813634395599365,2.789697670529817,7.782413005828857,0.1106809433714886,0.0011109006808604567,-7.799600872826529,6.847580852223918,46.889366149902344,-2.991629999300597,0.7751742415945911,7005.498457162641,3.3876804535399314,0.3067553722990503,0.1106809433714886,1.230581599507163,-1.1199006561356744,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,4,12,4321863,4272711,10,4,-25,0.05380236129609033,-1880.8989896820299,0.45652793536834557,-0.006393837820049189,107,107,28,0,879,0.9317932724952698,0.23504671454429626,0.9609816130839923,0.923485517501831,0.24709706481587898,0.00013714399830752773,-16.647571367139154,6.532713220626581,42.67634582519531,1.1921563728388556,0.013233743619713047,6733.692534113186,3.1274952198085466,-0.17516829628916658,0.24709706481587898,0.47016749902195354,-0.22307043420607456,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,5,13,4325959,4272711,10,4,-25,0.05380236129609033,-2037.6405721555325,0.45652793536834557,-0.006393837820049189,468,468,223,0,146,-1.9501800537109375,-2.8678641319274902,3.468118642879481,12.027849197387695,-2.167980720725473,0.0018742915595214055,-6.987004346547854,7.752543739591366,60.1019287109375,-1.4878028816002247,1.5074591020684944,6417.277576845605,3.144421413566185,-0.7358461611777388,-2.167980720725473,-0.29024660146325587,-1.8777341192622172,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,6,14,4330056,4272711,10,4,-25,0.05380236129609033,-2194.4204216169433,0.45652793536834557,-0.006393837820049189,89,89,697,0,198,1.3360252380371094,-2.9251925945281982,3.215853720515709,10.341714859008789,-1.142359272297752,0.0016155570980998042,-6.153286670406773,6.530713441625634,42.65021514892578,1.472735401002714,0.397103194769281,6401.3304581884295,3.0947125078689086,-1.2608814654364466,-1.142359272297752,-1.0506607019484648,-0.0916985703492872,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,7,15,4334152,4272711,10,4,-25,0.05380236129609033,-2351.162004090446,0.45652793536834557,-0.006393837820049189,713,-311,777,0,583,-1.9673068523406982,-0.13902930915355682,1.972213325193393,3.889625072479248,-3.0710400847510972,0.0005424735599953884,-10.660770298079278,6.729648819211571,45.288169860839844,-1.9429055636467227,0.016037937117307603,7170.1652565561235,3.2092575426866627,-1.7800489856744057,-3.0710400847510972,-1.8110748024336742,-1.259965282317423,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,8,16,4338248,4272711,10,4,-25,0.05380236129609033,-2507.9035865639485,0.45652793536834557,-0.006393837820049189,865,-159,572,0,66,-3.3434197902679443,-2.531327724456787,4.193575555842403,17.586078643798828,-2.4935583319660664,0.002630300647044756,-4.146962960105008,6.759781619947858,45.694644927978516,-3.114331060053361,0.34508841790856193,6685.957616121741,3.0668708923014427,-2.348869991775014,-2.4935583319660664,-2.5714889029188837,0.0779305709528173,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_32\0_0_0_10_14_32_snr_m20dB.bin,-20.0,6.420465674857357e-05,0.006420465674857357,42,continuous,0,0,0,9,17,4342344,4272711,10,4,-25,0.05380236129609033,-2664.645169037451,0.45652793536834557,-0.006393837820049189,492,492,220,0,46,-2.316572904586792,-3.7319419384002686,4.392482288394165,19.293895721435547,-2.126327809973283,0.003016723894305657,-3.624052543986493,6.6667259950043665,44.44523239135742,-0.24692978968598842,0.6712508833932114,6395.645208981354,2.9494301818715205,-2.934907344937071,-2.126327809973283,-3.331903003404093,1.20557519343081,-0.24204732577799654,0.9866905572788974,0.2839159716780827,0.5672005694066529
