file_name,target_snr_db,mode,cfo_correction_mode,tau_source,phase_sign,frame_index,packet_index,event_index,payload_symbol_index,frame_symbol_index,start_sample,header_start_sample,sf,os_factor,cfo_int,cfo_frac,cfo_common_phase_rad,sto_frac,sfo_hat,sfo_cum_before,tau_chips,wrap_cut_chip,phase_jump_correction_rad,phase_jump_correction_pi,gt_raw_fft_bin,gt_signed_fft_bin,argmax_bin,is_argmax_correct,gt_bin_rank,gt_bin_real,gt_bin_imag,gt_bin_amp,gt_bin_power,gt_bin_phase,gt_peak_energy_ratio,selected_peak_amp,selected_peak_power,selected_peak_margin_db,total_fft_energy,gt_bin_phase_unwrap,phase_linear_fit,phase_linear_residual,packet_phase_slope_pi_per_symbol,packet_phase_linear_r2,packet_phase_linear_rmse_pi,packet_residual_quad_r2
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,-0.0922587219498042,-0.09225872194980422,802,-0.5796786462141766,-0.18451744389960845,222,222,222,1,1,10.459339141845703,-5.22061014175415,11.68984796891439,136.6525421142578,-0.4629544434049953,0.011211886005318509,11.689847946166992,136.6525421142578,1.3999728054099707,12188.185114389751,-0.4629544434049953,0.42539564308651856,-0.8883500864915139,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,1,9,2555056,2518192,10,4,-24,-0.42916033761813344,-1381.436471700509,-0.04216817378983262,-0.006261318519996445,-0.09852004046980065,-0.09852004046980067,198,-0.6190196707425898,-0.19704008093960135,826,-198,281,0,124,3.908059597015381,-3.197993040084839,5.049761311018085,25.500093460083008,-0.6858045704475958,0.0021256765272386546,8.968464851379395,80.43336486816406,0.1195540579215673,11996.224793999456,-0.6858045704475958,0.26072354029859013,-0.9465281107461859,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,2,10,2559152,2518192,10,4,-24,-0.42916033761813344,-1534.9294130005655,-0.04216817378983262,-0.006261318519996445,-0.1047813589897971,-0.10478135898979712,102,-0.6583606952710029,-0.20956271797959425,922,-102,637,0,161,3.073568344116211,-3.745603561401367,4.845241831439982,23.47636604309082,-0.8836318133117236,0.0018697121214377782,9.976335525512695,99.52726745605469,0.5187634391583725,12556.13940451853,-0.8836318133117236,0.09605143751066175,-0.9796832508223854,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,3,11,2563248,2518192,10,4,-24,-0.42916033761813344,-1688.422354300622,-0.04216817378983262,-0.006261318519996445,-0.11104267750979355,-0.11104267750979357,306,-0.6977017197994161,-0.22208535501958715,718,-306,718,1,1,2.99029541015625,-11.123595237731934,11.51851716380603,132.6762237548828,-1.3081804043430456,0.011428697591965721,11.51851749420166,132.6762237548828,1.7016142397749596,11609.041422896087,-1.3081804043430456,-0.06862066527726665,-1.2395597390657789,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,4,12,2567344,2518192,10,4,-24,-0.42916033761813344,-1841.9152956006785,-0.04216817378983262,-0.006261318519996445,-0.11730399602979,-0.11730399602979003,917,-0.7370427443278292,-0.23460799205958005,107,107,989,0,6,6.111172199249268,-5.237466335296631,8.04844576686969,64.77748107910156,-0.7085620045348008,0.0052353597337377105,9.60301685333252,92.21794891357422,1.2582559495446035,12373.071646187454,-0.7085620045348008,-0.23329276806519506,-0.4752692364696057,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,5,13,2571440,2518192,10,4,-24,-0.42916033761813344,-1995.4082369007351,-0.04216817378983262,-0.006261318519996445,-0.12356531454978645,-0.12356531454978648,556,-0.7763837688562424,-0.24713062909957298,468,468,880,0,688,0.3827461004257202,-2.072944164276123,2.1079829424351444,4.443591594696045,-1.388213747344519,0.000370571103304825,9.4747953414917,89.77176666259766,1.2034030272951144,11991.198328923201,-1.388213747344519,-0.3979648708531235,-0.9902488764913956,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,6,14,2575536,2518192,10,4,-24,-0.42916033761813344,-2148.9011782007915,-0.04216817378983262,-0.006261318519996445,-0.1298266330697829,-0.12982663306978293,935,-0.8157247933846554,-0.25965326613956585,89,89,921,0,673,0.8864096999168396,-2.0260543823242188,2.211474285684062,4.890619277954102,-1.1583813664366025,0.00041525025447306375,9.458098411560059,89.45564270019531,0.9807884210283788,11777.522651154315,-1.1583813664366025,-0.5626369736410519,-0.5957443927955506,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,7,15,2579633,2518192,10,4,-24,-0.42916033761813344,-2302.4315933634703,-0.04216817378983262,-0.006261318519996445,0.11391204841022065,0.11391204841022062,312,0.715730508881828,0.22782409682044125,713,-311,713,1,1,13.388360977172852,-1.6158316135406494,13.485515246307877,181.859130859375,-0.12010836333850192,0.015274632993413936,13.485515594482422,181.859130859375,3.2834808482505586,11905.957474578172,-0.12010836333850192,-0.7273090764289802,0.6072007130904783,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,8,16,2583729,2518192,10,4,-24,-0.42916033761813344,-2455.9245346635266,-0.04216817378983262,-0.006261318519996445,0.1076507298902242,0.10765072989022417,160,0.6763894843534148,0.21530145978044835,865,-159,865,1,1,10.351614952087402,-5.501026630401611,11.72250937746126,137.41722106933594,-0.48846437010756694,0.011112671916084624,11.722509384155273,137.41722106933594,0.8267698256289048,12365.812840243801,-0.48846437010756694,-0.8919811792169087,0.40351680910934173,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\low_snr_gt_bin\0_0_0_10_14_16_m22_m27_sto_input\0_0_0_10_14_16_snr_m22dB.bin,-22.0,sto_phase_jump_corrected,continuous,sfo_cum_before,plus,0,1,1,9,17,2587825,2518192,10,4,-24,-0.42916033761813344,-2609.4174759635835,-0.04216817378983262,-0.006261318519996445,0.10138941137022775,0.10138941137022772,533,0.6370484598250017,0.20277882274045544,492,492,83,0,5,7.267805576324463,-4.412498950958252,8.502419943019788,72.2911376953125,-0.5456452733323169,0.005741105830652764,9.397984504699707,88.32211303710938,0.13955594877867278,12591.848996988963,-0.5456452733323169,-1.056653282004837,0.5110080086725202,-0.052416758296070974,0.835261972651578,0.23510172751748587,0.7635584040102532
