dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_8,-22.0,45,ordinary_fft,71,105,0.6761904761904762,0,71
0_0_0_10_14_8,-22.0,45,savaux,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,45,branch_gls,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,45,savaux_dual,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,45,proposed,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,45,unichirp,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,45,symfec,13,105,0.12380952380952381,0,0
0_0_0_10_14_8,-22.0,45,loratrimmer,1,105,0.009523809523809525,0,0
0_0_0_10_14_8,-23.0,45,ordinary_fft,80,105,0.7619047619047619,0,78
0_0_0_10_14_8,-23.0,45,savaux,2,105,0.01904761904761905,0,0
0_0_0_10_14_8,-23.0,45,branch_gls,2,105,0.01904761904761905,0,0
0_0_0_10_14_8,-23.0,45,savaux_dual,2,105,0.01904761904761905,0,0
0_0_0_10_14_8,-23.0,45,proposed,2,105,0.01904761904761905,0,0
0_0_0_10_14_8,-23.0,45,unichirp,2,105,0.01904761904761905,0,0
0_0_0_10_14_8,-23.0,45,symfec,32,105,0.3047619047619048,0,0
0_0_0_10_14_8,-23.0,45,loratrimmer,8,105,0.0761904761904762,0,0
0_0_0_10_14_8,-24.0,45,ordinary_fft,92,105,0.8761904761904762,1,86
0_0_0_10_14_8,-24.0,45,savaux,7,105,0.06666666666666667,0,0
0_0_0_10_14_8,-24.0,45,branch_gls,7,105,0.06666666666666667,0,0
0_0_0_10_14_8,-24.0,45,savaux_dual,7,105,0.06666666666666667,0,0
0_0_0_10_14_8,-24.0,45,proposed,7,105,0.06666666666666667,0,0
0_0_0_10_14_8,-24.0,45,unichirp,9,105,0.08571428571428572,0,0
0_0_0_10_14_8,-24.0,45,symfec,56,105,0.5333333333333333,0,0
0_0_0_10_14_8,-24.0,45,loratrimmer,18,105,0.17142857142857143,0,0
0_0_0_10_14_8,-25.0,45,ordinary_fft,97,105,0.9238095238095239,1,81
0_0_0_10_14_8,-25.0,45,savaux,17,105,0.1619047619047619,0,0
0_0_0_10_14_8,-25.0,45,branch_gls,17,105,0.1619047619047619,0,0
0_0_0_10_14_8,-25.0,45,savaux_dual,17,105,0.1619047619047619,0,0
0_0_0_10_14_8,-25.0,45,proposed,17,105,0.1619047619047619,0,0
0_0_0_10_14_8,-25.0,45,unichirp,20,105,0.19047619047619047,0,0
0_0_0_10_14_8,-25.0,45,symfec,74,105,0.7047619047619048,0,0
0_0_0_10_14_8,-25.0,45,loratrimmer,36,105,0.34285714285714286,0,0
0_0_0_10_14_8,-26.0,45,ordinary_fft,100,105,0.9523809523809523,0,61
0_0_0_10_14_8,-26.0,45,savaux,39,105,0.37142857142857144,0,0
0_0_0_10_14_8,-26.0,45,branch_gls,39,105,0.37142857142857144,0,0
0_0_0_10_14_8,-26.0,45,savaux_dual,39,105,0.37142857142857144,0,0
0_0_0_10_14_8,-26.0,45,proposed,39,105,0.37142857142857144,0,0
0_0_0_10_14_8,-26.0,45,unichirp,34,105,0.3238095238095238,0,0
0_0_0_10_14_8,-26.0,45,symfec,82,105,0.780952380952381,0,0
0_0_0_10_14_8,-26.0,45,loratrimmer,51,105,0.4857142857142857,0,0
0_0_0_10_14_16,-22.0,45,ordinary_fft,74,105,0.7047619047619048,0,71
0_0_0_10_14_16,-22.0,45,savaux,3,105,0.02857142857142857,0,0
0_0_0_10_14_16,-22.0,45,branch_gls,3,105,0.02857142857142857,0,0
0_0_0_10_14_16,-22.0,45,savaux_dual,3,105,0.02857142857142857,0,0
0_0_0_10_14_16,-22.0,45,proposed,3,105,0.02857142857142857,0,0
0_0_0_10_14_16,-22.0,45,unichirp,18,105,0.17142857142857143,0,0
0_0_0_10_14_16,-22.0,45,symfec,12,105,0.11428571428571428,0,0
0_0_0_10_14_16,-22.0,45,loratrimmer,5,105,0.047619047619047616,0,0
0_0_0_10_14_16,-23.0,45,ordinary_fft,86,105,0.819047619047619,0,80
0_0_0_10_14_16,-23.0,45,savaux,6,105,0.05714285714285714,0,0
0_0_0_10_14_16,-23.0,45,branch_gls,6,105,0.05714285714285714,0,0
0_0_0_10_14_16,-23.0,45,savaux_dual,6,105,0.05714285714285714,0,0
0_0_0_10_14_16,-23.0,45,proposed,6,105,0.05714285714285714,0,0
0_0_0_10_14_16,-23.0,45,unichirp,29,105,0.2761904761904762,0,0
0_0_0_10_14_16,-23.0,45,symfec,43,105,0.4095238095238095,0,0
0_0_0_10_14_16,-23.0,45,loratrimmer,10,105,0.09523809523809523,0,0
0_0_0_10_14_16,-24.0,45,ordinary_fft,94,105,0.8952380952380953,1,82
0_0_0_10_14_16,-24.0,45,savaux,13,105,0.12380952380952381,0,0
0_0_0_10_14_16,-24.0,45,branch_gls,13,105,0.12380952380952381,0,0
0_0_0_10_14_16,-24.0,45,savaux_dual,13,105,0.12380952380952381,0,0
0_0_0_10_14_16,-24.0,45,proposed,13,105,0.12380952380952381,0,0
0_0_0_10_14_16,-24.0,45,unichirp,38,105,0.3619047619047619,0,0
0_0_0_10_14_16,-24.0,45,symfec,57,105,0.5428571428571428,0,0
0_0_0_10_14_16,-24.0,45,loratrimmer,25,105,0.23809523809523808,0,0
0_0_0_10_14_16,-25.0,45,ordinary_fft,99,105,0.9428571428571428,1,72
0_0_0_10_14_16,-25.0,45,savaux,28,105,0.26666666666666666,0,0
0_0_0_10_14_16,-25.0,45,branch_gls,28,105,0.26666666666666666,0,0
0_0_0_10_14_16,-25.0,45,savaux_dual,28,105,0.26666666666666666,0,0
0_0_0_10_14_16,-25.0,45,proposed,28,105,0.26666666666666666,0,0
0_0_0_10_14_16,-25.0,45,unichirp,55,105,0.5238095238095238,0,0
0_0_0_10_14_16,-25.0,45,symfec,75,105,0.7142857142857143,0,0
0_0_0_10_14_16,-25.0,45,loratrimmer,40,105,0.38095238095238093,0,0
0_0_0_10_14_16,-26.0,45,ordinary_fft,101,105,0.9619047619047619,1,59
0_0_0_10_14_16,-26.0,45,savaux,43,105,0.4095238095238095,0,0
0_0_0_10_14_16,-26.0,45,branch_gls,43,105,0.4095238095238095,0,0
0_0_0_10_14_16,-26.0,45,savaux_dual,42,105,0.4,1,0
0_0_0_10_14_16,-26.0,45,proposed,42,105,0.4,1,0
0_0_0_10_14_16,-26.0,45,unichirp,64,105,0.6095238095238096,0,0
0_0_0_10_14_16,-26.0,45,symfec,87,105,0.8285714285714286,0,0
0_0_0_10_14_16,-26.0,45,loratrimmer,55,105,0.5238095238095238,0,0
0_0_0_10_14_32,-22.0,45,ordinary_fft,69,105,0.6571428571428571,0,42
0_0_0_10_14_32,-22.0,45,savaux,27,105,0.2571428571428571,0,0
0_0_0_10_14_32,-22.0,45,branch_gls,27,105,0.2571428571428571,0,0
0_0_0_10_14_32,-22.0,45,savaux_dual,27,105,0.2571428571428571,0,0
0_0_0_10_14_32,-22.0,45,proposed,27,105,0.2571428571428571,0,0
0_0_0_10_14_32,-22.0,45,unichirp,38,105,0.3619047619047619,0,0
0_0_0_10_14_32,-22.0,45,symfec,36,105,0.34285714285714286,0,0
0_0_0_10_14_32,-22.0,45,loratrimmer,32,105,0.3047619047619048,0,0
0_0_0_10_14_32,-23.0,45,ordinary_fft,81,105,0.7714285714285715,0,51
0_0_0_10_14_32,-23.0,45,savaux,30,105,0.2857142857142857,0,0
0_0_0_10_14_32,-23.0,45,branch_gls,30,105,0.2857142857142857,0,0
0_0_0_10_14_32,-23.0,45,savaux_dual,30,105,0.2857142857142857,0,0
0_0_0_10_14_32,-23.0,45,proposed,30,105,0.2857142857142857,0,0
0_0_0_10_14_32,-23.0,45,unichirp,45,105,0.42857142857142855,0,0
0_0_0_10_14_32,-23.0,45,symfec,45,105,0.42857142857142855,0,0
0_0_0_10_14_32,-23.0,45,loratrimmer,35,105,0.3333333333333333,0,0
0_0_0_10_14_32,-24.0,45,ordinary_fft,90,105,0.8571428571428571,0,53
0_0_0_10_14_32,-24.0,45,savaux,37,105,0.3523809523809524,0,0
0_0_0_10_14_32,-24.0,45,branch_gls,37,105,0.3523809523809524,0,0
0_0_0_10_14_32,-24.0,45,savaux_dual,37,105,0.3523809523809524,0,0
0_0_0_10_14_32,-24.0,45,proposed,37,105,0.3523809523809524,0,0
0_0_0_10_14_32,-24.0,45,unichirp,52,105,0.49523809523809526,0,0
0_0_0_10_14_32,-24.0,45,symfec,59,105,0.5619047619047619,0,0
0_0_0_10_14_32,-24.0,45,loratrimmer,40,105,0.38095238095238093,0,0
0_0_0_10_14_32,-25.0,45,ordinary_fft,96,105,0.9142857142857143,0,55
0_0_0_10_14_32,-25.0,45,savaux,41,105,0.3904761904761905,0,0
0_0_0_10_14_32,-25.0,45,branch_gls,41,105,0.3904761904761905,0,0
0_0_0_10_14_32,-25.0,45,savaux_dual,41,105,0.3904761904761905,0,0
0_0_0_10_14_32,-25.0,45,proposed,41,105,0.3904761904761905,0,0
0_0_0_10_14_32,-25.0,45,unichirp,55,105,0.5238095238095238,0,0
0_0_0_10_14_32,-25.0,45,symfec,74,105,0.7047619047619048,0,0
0_0_0_10_14_32,-25.0,45,loratrimmer,49,105,0.4666666666666667,0,0
0_0_0_10_14_32,-26.0,45,ordinary_fft,98,105,0.9333333333333333,0,49
0_0_0_10_14_32,-26.0,45,savaux,49,105,0.4666666666666667,0,0
0_0_0_10_14_32,-26.0,45,branch_gls,49,105,0.4666666666666667,0,0
0_0_0_10_14_32,-26.0,45,savaux_dual,49,105,0.4666666666666667,0,0
0_0_0_10_14_32,-26.0,45,proposed,49,105,0.4666666666666667,0,0
0_0_0_10_14_32,-26.0,45,unichirp,63,105,0.6,0,0
0_0_0_10_14_32,-26.0,45,symfec,87,105,0.8285714285714286,0,0
0_0_0_10_14_32,-26.0,45,loratrimmer,56,105,0.5333333333333333,0,0
