file_name,target_snr_db,cfo_correction_mode,frame_index,packet_index,event_index,payload_symbol_index,frame_symbol_index,start_sample,header_start_sample,sf,os_factor,cfo_int,cfo_frac,cfo_common_phase_rad,sto_frac,sfo_hat,candidate_label,candidate_kind,candidate_value,gt_raw_fft_bin,gt_signed_fft_bin,argmax_raw_fft_bin,wrong_peak_raw_fft_bin,target_raw_fft_bin,target_signed_fft_bin,target_is_gt_bin,target_is_argmax_bin,argmax_is_gt_bin,target_rank,target_real,target_imag,target_amp,target_power,target_phase,target_phase_unwrap,phase_linear_fit,phase_residual,target_energy_ratio,gt_amp,gt_power,gt_energy_ratio,argmax_power,target_amp_vs_gt_db,target_power_vs_gt_db,target_power_vs_argmax_db,total_fft_energy,group_phase_slope_pi_per_symbol,group_linear_fit_r2,group_linear_fit_rmse_pi,group_residual_quad_r2
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,gt,gt,0,222,222,222,152,222,222,1,1,1,1,11.382766723632812,-3.531541109085083,11.918018328975684,142.03915405273438,-0.30083675915733354,-0.30083675915733354,0.44262646104243064,-0.7434632201997643,0.00927585819876558,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,0.0,0.0,0.0,15312.777643758804,-0.05285725057262999,0.8995748101939903,0.178364057231816,0.5542551844365302
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,argmax,argmax,0,222,222,222,152,222,222,1,1,1,1,11.382766723632812,-3.531541109085083,11.918018328975684,142.03915405273438,-0.30083675915733354,-0.30083675915733354,0.7719043410060493,-1.0727411001633829,0.00927585819876558,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,0.0,0.0,0.0,15312.777643758804,-0.11204496210446822,0.6411968606447964,0.8464958696892482,0.006720906000784788
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,wrong_peak,wrong_peak,0,222,222,222,152,152,152,0,0,1,2,5.979794025421143,-8.550692558288574,10.434188028439683,108.87227630615234,-0.9605171683089933,-0.9605171683089933,1.1537728936981713,-2.1142900620071643,0.007109897292247733,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,-1.1549078074936814,-1.1549077383281778,-1.1549077383281778,15312.777643758804,-0.1199587794638012,0.6908615390120992,0.8104255727264772,0.0012569508832711573
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+1,offset,1,222,222,222,152,223,223,0,0,1,62,6.214080810546875,2.1446619033813477,6.573764142393778,43.21437072753906,0.3323291712515702,0.3323291712515702,-0.7162403966277413,1.0485695678793114,0.002822111816215944,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,-5.1677986172597095,-5.167798837566324,-5.167798837566324,15312.777643758804,0.1798729625844939,0.8324450520240094,0.8150172750832856,0.09575126104992704
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off-1,offset,-1,222,222,222,152,221,221,0,0,1,447,1.7614693641662598,2.9599416255950928,3.444419943593813,11.864029884338379,1.0339855360406311,1.0339855360406311,6.827465320158796,0.4897055230614218,0.0007747797401847556,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,-10.781759076359624,-10.781758451280375,-10.781758451280375,15312.777643758804,-0.04520839484221856,0.26063688474009683,0.7690067037052005,0.028573185580779814
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+4,offset,4,222,222,222,152,226,226,0,0,1,978,0.49673992395401,0.5816569328308105,0.7649021764644036,0.585075318813324,0.8639797606332977,0.8639797606332977,-2.1573709242433567,3.0213506848766545,3.820830762548097e-05,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,-23.85196304655654,-23.851962991508536,-23.851962991508536,15312.777643758804,0.0251383212334801,0.08516845664928763,0.8320846955122801,0.007040806163225777
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off-4,offset,-4,222,222,222,152,218,218,0,0,1,231,2.3168013095855713,4.225038528442383,4.818559834112262,23.218521118164062,1.0692205323793647,1.0692205323793647,4.096414167754411,-3.027193635375046,0.001516284090210602,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,-7.8657358565379685,-7.865735227898842,-7.865735227898842,15312.777643758804,0.0018860663554424665,0.0006171050867451733,0.766555222290024,0.005019664469443574
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+16,offset,16,222,222,222,152,238,238,0,0,1,954,0.9791266322135925,0.21782878041267395,1.0030644742418129,1.0061384439468384,0.2189074631321867,0.2189074631321867,-5.092853332729792,-0.971424511317608,6.570580905397796e-05,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,-21.497503996412203,-21.497503336464373,-21.497503336464373,15312.777643758804,-0.22940855023190326,0.8288538595261807,1.0528203214895404,0.13664047069407315
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off-16,offset,-16,222,222,222,152,206,206,0,0,1,261,-4.205814361572266,1.7977789640426636,4.573935247416806,20.92088508605957,2.737647938875941,2.737647938875941,3.011462584149526,-0.273814645273585,0.0013662371107822182,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,-8.318280738682212,-8.31828023101796,-8.31828023101796,15312.777643758804,-0.04996276461866546,0.5827416997051483,0.4269834003288438,0.031318932331738214
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,-23.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+64,offset,64,222,222,222,152,286,286,0,0,1,296,2.709670305252075,3.3934528827667236,4.342560953023304,18.857833862304688,0.8969710159987303,0.8969710159987303,0.40895297619004845,0.48801803980868186,0.0012315096778010605,11.918018328975684,142.03915405273438,0.00927585819876558,142.03915405273438,-8.769162519940368,-8.769162718157675,-8.769162718157675,15312.777643758804,0.0030738574396157884,0.0037485968698827143,0.5060971732228241,0.006601988882869558
