packet_index,event_index,stage,symbol_index,start_sample,peak_bin,signed_peak_bin,expected_signed_bin,distance_to_expected,peak_power,second_power,confidence_db,peak_share
0,0,preamble,0,1133666,0,0,0,0,0.013586960312463158,0.005200089287548886,4.171115061260384,0.006325256832510159
0,0,preamble,1,1137762,0,0,0,0,0.02136149025962676,0.004392791966237941,6.868909110228043,0.010103093036638514
0,0,preamble,2,1141858,0,0,0,0,0.009478515781968991,0.005076687408896225,2.711599144797332,0.004430241150402668
0,0,preamble,3,1145954,0,0,0,0,0.0142573499068978,0.00806648691580065,2.4735437458379304,0.003811760871638679
0,0,preamble,4,1150050,0,0,0,0,0.013910332767997672,0.010329603263061508,1.2925387790449738,0.0029254779973732956
0,0,preamble,5,1154146,0,0,0,0,0.007278257022539543,0.006326049333472429,0.6089481366412156,0.002707325252521225
0,0,preamble,6,1158242,0,0,0,0,0.01543786099187811,0.006133679908640726,4.0086601785903,0.007326487679188337
0,0,preamble,7,1162338,0,0,0,0,0.010916770138202053,0.004695949532339827,3.6637074509077716,0.005152810085366665
0,0,preamble,8,1166434,0,0,0,0,0.01952619604658866,0.004536581738952297,6.338889051040607,0.00901769961069154
0,0,preamble,9,1170530,0,0,0,0,0.024099751164352673,0.005403168802302539,6.4936402270622775,0.011197552799395437
0,0,preamble,10,1174626,0,0,0,0,0.008197763903105061,0.004423724920803902,2.6790729288174453,0.003860593900402745
0,0,preamble,11,1178722,0,0,0,0,0.017869471492187428,0.0046107563408787095,5.883395358089515,0.008315461292069325
0,0,preamble,12,1182818,0,0,0,0,0.010823029476053002,0.005379112939594002,3.03638178427291,0.0049167697774654025
0,0,preamble,13,1186914,0,0,0,0,0.01768080626864843,0.004203720115758052,6.238682726089816,0.008366177723710006
0,0,preamble,14,1191010,0,0,0,0,0.009781021916820409,0.005177788913920951,2.762398907408035,0.004515234210151431
0,0,preamble,15,1195106,0,0,0,0,0.012993652125714435,0.004284427504018449,4.818384367632275,0.006010820980823164
0,0,preamble,16,1199202,3201,-895,0,895,0.01137589457509072,0.010169137835605432,0.48701424691383655,0.0023231445671446946
0,0,preamble,17,1203298,0,0,0,0,0.016046724674028557,0.01321267682190463,0.8439558874751221,0.0041350346444205275
0,0,preamble,18,1207394,0,0,0,0,0.007333871191462803,0.006030643622041073,0.8496961314753744,0.0034462175949965907
0,0,preamble,19,1211490,0,0,0,0,0.021281327181840674,0.005376465530120613,5.975018428922293,0.010188697900357768
0,0,preamble,20,1215586,0,0,0,0,0.009189452301624922,0.004455597285687892,3.1438369716930756,0.004431958730148701
0,0,preamble,21,1219682,0,0,0,0,0.010462171421259608,0.004026035990178164,4.147441787219294,0.004854510280934077
0,0,preamble,22,1223778,0,0,0,0,0.012110184400650585,0.0042469146999026056,4.550772179648489,0.00569826849683345
0,0,preamble,23,1227874,0,0,0,0,0.011256616434639826,0.0052618548700196525,3.3026900249415156,0.005362973323656814
0,0,preamble,24,1231970,0,0,0,0,0.01734331474442006,0.005082790258029927,5.330299168342484,0.008265238670909414
0,0,preamble,25,1236066,0,0,0,0,0.01922916971570135,0.00772259097667632,3.961974992646039,0.00904322944211034
0,0,preamble,26,1240162,0,0,0,0,0.011270891900777234,0.004609781425607731,3.882779508271828,0.005392385197523546
0,0,preamble,27,1244258,0,0,0,0,0.01519278256195626,0.005150701200861725,4.697709656900718,0.0068835233964035574
0,0,preamble,28,1248354,0,0,0,0,0.009465355504348924,0.006994172078779685,1.3140061692190816,0.0026601706912561776
0,0,preamble,29,1252450,0,0,0,0,0.009493854164633515,0.00943014508511231,0.02924181706923067,0.002041328628719375
0,0,preamble,30,1256546,0,0,0,0,0.014719662927329439,0.005280769453732127,4.45200657393679,0.0056432595454492
0,0,preamble,31,1260642,0,0,0,0,0.014997769709915617,0.004475341809523169,5.252004700695073,0.0071860240438775
0,0,sync,32,1264738,24,24,24,0,0.01410927035342692,0.005462155466794441,4.121404981356319,0.006279125936964125
0,0,sync,33,1268834,32,32,32,0,0.010905070373809283,0.009190197980102524,0.7430360527289769,0.003192428074776136
0,0,sfd,34,1272930,4043,-53,,,0.020830329444562028,0.010647302900342848,2.914565293464351,0.00502072594066675
0,0,sfd,35,1277026,4043,-53,,,0.013842347406940283,0.013535978287008527,0.0972009565815852,0.00311644852517273
1,1,preamble,0,2634032,0,0,0,0,0.02265767303254911,0.011037591461135822,3.1234098999767355,0.0045526632990896595
1,1,preamble,1,2638128,0,0,0,0,0.01781818274520478,0.01158677711380329,1.869007559473954,0.005023832265910896
1,1,preamble,2,2642224,0,0,0,0,0.023196466790577585,0.004725796936428036,6.909467831993372,0.010724893744661778
1,1,preamble,3,2646320,0,0,0,0,0.017061584957331913,0.005354219632295309,5.0332319088120006,0.007865966757012368
1,1,preamble,4,2650416,0,0,0,0,0.0162089293037519,0.0039242917760685,6.159930378070509,0.007973861373040876
1,1,preamble,5,2654512,0,0,0,0,0.02065982548423189,0.0062709264870284605,5.177949390197556,0.009594910985902337
1,1,preamble,6,2658608,0,0,0,0,0.01867409507208642,0.005368166953162511,5.414135513365842,0.008768419926599623
1,1,preamble,7,2662704,0,0,0,0,0.012123933208447539,0.004972122911582134,3.8710167922169103,0.005673928083510235
1,1,preamble,8,2666800,0,0,0,0,0.02081407087807782,0.004374655087502542,6.774132116568311,0.009787780118250811
1,1,preamble,9,2670896,0,0,0,0,0.024976192282754064,0.00463461308816425,7.315127454616234,0.0116532353445009
1,1,preamble,10,2674992,0,0,0,0,0.016815605988126876,0.005109521985686853,5.1733225049844425,0.008131081922137897
1,1,preamble,11,2679088,0,0,0,0,0.024147619108687537,0.004301045680078787,7.493002618260224,0.011326116494435483
1,1,preamble,12,2683184,0,0,0,0,0.023054503210060025,0.011745922562540654,2.928686349231654,0.005005855272472047
1,1,preamble,13,2687280,175,175,0,175,0.01211745997468763,0.010435181194454536,0.6491159940262116,0.0024141121673230508
1,1,preamble,14,2691376,0,0,0,0,0.010786311777638957,0.004259911120089827,4.034724314247409,0.005130197829538699
1,1,preamble,15,2695472,0,0,0,0,0.016386730279316867,0.006782235065226462,3.8311946751352433,0.007778758851064497
1,1,preamble,16,2699568,0,0,0,0,0.01483790259240547,0.004098366324747345,5.587617413121018,0.006958709618449659
1,1,preamble,17,2703664,0,0,0,0,0.01241866135595118,0.0038772393778518204,5.055521696327832,0.005765272489540989
1,1,preamble,18,2707760,0,0,0,0,0.02222872652160712,0.004630702693746145,6.812676840221078,0.010492529384220767
1,1,preamble,19,2711856,0,0,0,0,0.01697867836333386,0.0038323848591585137,6.464347656201294,0.00786430149128219
1,1,preamble,20,2715952,0,0,0,0,0.0061307496148016,0.0042042719531331756,1.63822778938459,0.002883248335435849
1,1,preamble,21,2720048,0,0,0,0,0.022437081111584104,0.004473884460291502,7.00281593859202,0.010431640072290048
1,1,preamble,22,2724144,0,0,0,0,0.010208895358073873,0.005138475339189469,2.981444757055866,0.004902920620185912
1,1,preamble,23,2728240,0,0,0,0,0.015417783823267295,0.005282557647833185,4.651777068757397,0.007128693826525985
1,1,preamble,24,2732336,0,0,0,0,0.008604670019144917,0.008323118600435117,0.14448137041001208,0.0028427142210332413
1,1,preamble,25,2736432,0,0,0,0,0.026207387588682362,0.01733733696348093,1.7944134156339133,0.005387851125267922
1,1,preamble,26,2740528,0,0,0,0,0.014311766232586787,0.007998927904766253,2.526614514195178,0.003972856168675391
1,1,preamble,27,2744624,0,0,0,0,0.00955453536708568,0.005654943466282429,2.2778130480666867,0.0046189541853586405
1,1,preamble,28,2748720,0,0,0,0,0.00816324564002877,0.004316646275946509,2.767164028331963,0.003964641739455623
1,1,preamble,29,2752816,0,0,0,0,0.009580770964808602,0.006326947529797365,1.8020622535616895,0.0031231060531693596
1,1,preamble,30,2756912,0,0,0,0,0.01527209080741142,0.01137935933764854,1.2778068589647384,0.0030211456111476375
1,1,preamble,31,2761008,0,0,0,0,0.019793035194135347,0.015098423703478041,1.1758078817470092,0.003705462779889835
1,1,sync,32,2765104,297,297,24,273,0.013594889600908568,0.01260552895536557,0.32814610858017057,0.0027864528517798576
1,1,sync,33,2769200,684,684,32,652,0.009376076936983144,0.008621708340823655,0.3642783511557316,0.002358474693231271
1,1,sfd,34,2773296,4043,-53,,,0.0326295875777398,0.008834889973577693,5.674104392145615,0.008701917963272389
1,1,sfd,35,2777392,4043,-53,,,0.021421204643344266,0.012070340176884586,2.4912438024001737,0.003926250853330547
2,2,preamble,0,5634764,0,0,0,0,0.022610021393008585,0.004688590779655599,6.8325864410610695,0.010875338741578046
2,2,preamble,1,5638860,0,0,0,0,0.02896874366752219,0.004734568566914327,7.866492504210653,0.013449408163227497
2,2,preamble,2,5642956,0,0,0,0,0.03402502535965288,0.005352095109468704,8.032746351018925,0.01524285761593276
2,2,preamble,3,5647052,0,0,0,0,0.028134549984908604,0.005357732421756334,7.2025895287299,0.013281927722204758
2,2,preamble,4,5651148,0,0,0,0,0.029548283608513613,0.0064514260044642785,6.608765383506232,0.009116846976083427
2,2,preamble,5,5655244,2923,-1173,0,1173,0.013578884097598968,0.010404428770270218,1.1564584009440877,0.002852507550328297
2,2,preamble,6,5659340,0,0,0,0,0.016983550424702065,0.00814249363079513,3.1927105748127556,0.0057014684508355715
2,2,preamble,7,5663436,0,0,0,0,0.03089159477464274,0.004241089996276098,8.623628409556016,0.014968668685018257
2,2,preamble,8,5667532,0,0,0,0,0.010059115526801856,0.004928720204488393,3.0982563130096774,0.004899733857994343
2,2,preamble,9,5671628,0,0,0,0,0.022138593497529706,0.004004885727751434,7.425598971715424,0.0107227618057826
2,2,preamble,10,5675724,0,0,0,0,0.016580313026989906,0.004408739910166529,5.752782467761612,0.00800452026531004
2,2,preamble,11,5679820,0,0,0,0,0.01791379138903321,0.004737868373683858,5.77604521340858,0.008717064916718083
2,2,preamble,12,5683916,0,0,0,0,0.015487664654358956,0.004671881042632933,5.20494160473962,0.007236196882330552
2,2,preamble,13,5688012,0,0,0,0,0.022547220809320447,0.003958155202955956,7.5560019868933095,0.010572311903850601
2,2,preamble,14,5692108,0,0,0,0,0.014482639552656818,0.004624064288254588,4.958238585509906,0.006777219826418459
2,2,preamble,15,5696204,0,0,0,0,0.016035534805153642,0.004438729830418029,5.578247368898203,0.0076237959405098185
2,2,preamble,16,5700300,0,0,0,0,0.014329947414947376,0.004289834391643162,5.238040700762322,0.006765881762878962
2,2,preamble,17,5704396,0,0,0,0,0.014423847428076432,0.009618645206409314,1.7596721424515458,0.0031270178736806193
2,2,preamble,18,5708492,0,0,0,0,0.024274192871109674,0.00960652709431705,4.0257838633478595,0.005358173276881786
2,2,preamble,19,5712588,0,0,0,0,0.021087622500885726,0.0054484755888493715,5.877526090402378,0.010148377643055487
2,2,preamble,20,5716684,0,0,0,0,0.009635752187203889,0.003727846809910884,4.124275648712036,0.004641345469451187
2,2,preamble,21,5720780,0,0,0,0,0.008372557674554774,0.00520698976639161,2.062714237380536,0.003995177497460675
2,2,preamble,22,5724876,0,0,0,0,0.01084865634881285,0.004523445945334589,3.799065474243346,0.0052245974233688704
2,2,preamble,23,5728972,0,0,0,0,0.02058922134667047,0.004486898941659706,6.616936345288444,0.009760807412751878
2,2,preamble,24,5733068,0,0,0,0,0.01824314698764274,0.004584102055232509,5.998454796139646,0.008684973406132165
2,2,preamble,25,5737164,0,0,0,0,0.012577736915850075,0.004622817238611518,4.346957823968564,0.0060863101976958295
2,2,preamble,26,5741260,0,0,0,0,0.013324688749899932,0.005430612323115481,3.8980827239675335,0.006389395207678431
2,2,preamble,27,5745356,0,0,0,0,0.01525798032686601,0.004204343008521233,5.597989101674371,0.007236036944804726
2,2,preamble,28,5749452,0,0,0,0,0.01583651035514282,0.004601566378572626,5.36753797894542,0.0076257841603959995
2,2,preamble,29,5753548,0,0,0,0,0.01196887061815409,0.006819775197455121,2.442831132436554,0.0035936323550689753
2,2,preamble,30,5757644,0,0,0,0,0.01209929448571951,0.011434651744495422,0.24537104979948698,0.0025122742622834086
2,2,preamble,31,5761740,0,0,0,0,0.018576764276345425,0.007148869537548228,4.147326987652958,0.006003136744483376
2,2,sync,32,5765836,24,24,24,0,0.011528633423357174,0.004895439989609818,3.719860989468345,0.00552334929558342
2,2,sync,33,5769932,32,32,32,0,0.01849122957160784,0.005192694805215578,5.515729922909891,0.00864433944815074
2,2,sfd,34,5774028,4043,-53,,,0.016871190153715708,0.004965130584513529,5.3121504528146914,0.008061080268828659
2,2,sfd,35,5778124,4043,-53,,,0.013147415930758428,0.005722340654196357,3.6126669442485575,0.006299573123410305
3,3,preamble,0,7135131,0,0,0,0,0.09236743671006473,0.005653961374687045,12.131660544185861,0.03389944586575971
3,3,preamble,1,7139227,0,0,0,0,0.06868518422410001,0.014065537767755541,6.887067262276093,0.01127432462921306
3,3,preamble,2,7143323,0,0,0,0,0.10526862395664742,0.008479089559430341,10.939497235148984,0.02291288004694465
3,3,preamble,3,7147419,0,0,0,0,0.08836471876655413,0.006469218219994429,11.354270985582422,0.040533374484616226
3,3,preamble,4,7151515,0,0,0,0,0.08005205851184338,0.004680005687645144,12.331261232601873,0.039133654284714756
3,3,preamble,5,7155611,0,0,0,0,0.0702320750178522,0.004324318917886406,12.10617784288749,0.032821194830688745
3,3,preamble,6,7159707,0,0,0,0,0.08284415462921622,0.005148044586225882,12.066195710191195,0.03933199202552086
3,3,preamble,7,7163803,0,0,0,0,0.07575472704492174,0.004004371707200991,12.768753534933623,0.036213611939559034
3,3,preamble,8,7167899,0,0,0,0,0.06876344107904005,0.010804937293701411,8.037353508380093,0.013214695764476758
3,3,preamble,9,7171995,0,0,0,0,0.08735139244933068,0.007902577349034072,10.43501077036671,0.028099758241466127
3,3,preamble,10,7176091,0,0,0,0,0.09400010982493419,0.005977602810069304,11.966013066317826,0.03345281524122167
3,3,preamble,11,7180187,0,0,0,0,0.10887829078298075,0.004614876855119848,13.727811778512297,0.044308472767120126
3,3,preamble,12,7184283,0,0,0,0,0.07770310024971167,0.009257149411539232,9.239610735625867,0.01747305704463989
3,3,preamble,13,7188379,0,0,0,0,0.07057331867306908,0.008100038231017,9.401534716920995,0.026277682065023494
3,3,preamble,14,7192475,0,0,0,0,0.12808414043509198,0.012354573933695599,10.156675854085826,0.020102153235061093
3,3,preamble,15,7196571,0,0,0,0,0.08068473474189575,0.013048139933785638,7.912427699434988,0.014208463375532082
3,3,preamble,16,7200667,0,0,0,0,0.07695055833340413,0.009863146053036904,8.92196311122687,0.016139926560363324
3,3,preamble,17,7204763,0,0,0,0,0.11982952050833001,0.005341272603878516,13.509190777816261,0.04364341207487126
3,3,preamble,18,7208859,0,0,0,0,0.10164583128802054,0.004753035202729514,13.30118541146248,0.04779911596343388
3,3,preamble,19,7212955,0,0,0,0,0.11329442514984443,0.004236184474681139,14.27233675941751,0.054186571833873626
3,3,preamble,20,7217051,0,0,0,0,0.10469970460994221,0.006202943401746154,12.27347637904031,0.04983111744655004
3,3,preamble,21,7221147,0,0,0,0,0.09260370973474606,0.004289237362130127,13.342483046798677,0.04489787610310579
3,3,preamble,22,7225243,0,0,0,0,0.10003904537346367,0.0047487959113842685,13.235860334615673,0.04689159722599478
3,3,preamble,23,7229339,0,0,0,0,0.08917141397095547,0.004966508372686766,12.541744812510423,0.04333371418767495
3,3,preamble,24,7233435,0,0,0,0,0.08755969646088536,0.004207885117213359,13.18240373058343,0.041971799799219785
3,3,preamble,25,7237531,0,0,0,0,0.09261668523291765,0.00528225005998054,12.438702767463772,0.03803434732550363
3,3,preamble,26,7241627,0,0,0,0,0.0996033567833016,0.008989010757667412,10.445620748760795,0.02158870577325774
3,3,preamble,27,7245723,0,0,0,0,0.09164714201450826,0.007374342149997611,10.943956423267338,0.024508963003516248
3,3,preamble,28,7249819,0,0,0,0,0.09055671100272272,0.005733151044455559,11.985272569014727,0.04313745080629699
3,3,preamble,29,7253915,0,0,0,0,0.10709465670409406,0.004093482179082534,14.176748989930463,0.05146973783547237
3,3,preamble,30,7258011,0,0,0,0,0.08791517022663428,0.0037713137722086383,13.675711542618,0.04147304867705281
3,3,preamble,31,7262107,0,0,0,0,0.09475626704707703,0.004204590627180915,13.52884225371822,0.04559708500468845
3,3,sync,32,7266203,24,24,24,0,0.09779553462483741,0.004223103674756915,13.64687281981811,0.04790363567480061
3,3,sync,33,7270299,32,32,32,0,0.09831112305975566,0.004641401517540722,13.259535173907416,0.045439992254023814
3,3,sfd,34,7274395,4043,-53,,,0.1012772571504013,0.004030350098492078,14.001691580172377,0.047686532872599476
3,3,sfd,35,7278491,4043,-53,,,0.08785614514342648,0.0038608826317032526,13.570855442878182,0.0418423450503426
4,4,preamble,0,8635498,0,0,0,0,0.08959538041691613,0.004605460173522005,12.890125867735808,0.04197829171312003
4,4,preamble,1,8639594,0,0,0,0,0.1039522348433522,0.005405737468063917,12.839788803784788,0.04999798949132509
4,4,preamble,2,8643690,0,0,0,0,0.10226681592007202,0.004432745625011685,13.630619245479581,0.04910392034361806
4,4,preamble,3,8647786,0,0,0,0,0.1264731064753384,0.004915626378874896,14.104193198509929,0.0604837254952416
4,4,preamble,4,8651882,0,0,0,0,0.09088691349300465,0.004739417468396907,12.827763901716411,0.04170287092564724
4,4,preamble,5,8655978,0,0,0,0,0.11526433535996918,0.005582557865907435,13.148617169401895,0.05519803394251764
4,4,preamble,6,8660074,0,0,0,0,0.11458612545311667,0.004452670379131405,14.105114881927747,0.054578013989247276
4,4,preamble,7,8664170,0,0,0,0,0.08639118881222649,0.004213899922888308,13.117852330761783,0.04162473083611719
4,4,preamble,8,8668266,0,0,0,0,0.09976671598528135,0.008341575080023271,10.777376137044826,0.04795091544810234
4,4,preamble,9,8672362,0,0,0,0,0.0898798315400027,0.007390186532261495,10.850068494000432,0.026882584698410168
4,4,preamble,10,8676458,0,0,0,0,0.08486298701141592,0.008401604439397092,10.043560835935736,0.019634820696278633
4,4,preamble,11,8680554,0,0,0,0,0.0951143479755015,0.005527036604812913,12.357536942280664,0.03488984772579087
4,4,preamble,12,8684650,0,0,0,0,0.08695922435555599,0.004080786082444315,13.285718279871109,0.04204727461098826
4,4,preamble,13,8688746,0,0,0,0,0.08001608668958714,0.004702166161217923,12.308793359238335,0.03766120515331887
4,4,preamble,14,8692842,0,0,0,0,0.09371477890262343,0.004342436725980185,13.3407458588555,0.04530316572400724
4,4,preamble,15,8696938,0,0,0,0,0.08297059508908895,0.006646881477875876,10.96306270153045,0.03328868051995544
4,4,preamble,16,8701034,0,0,0,0,0.08423059498885772,0.00614402615868194,11.370168124049355,0.03667142987338942
4,4,preamble,17,8705130,0,0,0,0,0.10284172895116436,0.0052634637239268815,12.908977351891131,0.04289234387847472
4,4,preamble,18,8709226,0,0,0,0,0.0819808517746744,0.005752318353290225,11.538695128838185,0.032987466189477316
4,4,preamble,19,8713322,0,0,0,0,0.08974691204470586,0.005128815499924121,12.430024382059967,0.03734779555264858
4,4,preamble,20,8717418,0,0,0,0,0.08830405057468685,0.004715269405406882,12.724741143979374,0.0422356144496481
4,4,preamble,21,8721514,0,0,0,0,0.09691574908511434,0.005179303116539179,12.721230282114428,0.046810594005835586
4,4,preamble,22,8725610,0,0,0,0,0.0976063497510013,0.011660620313243943,9.227564171581907,0.022268169296313135
4,4,preamble,23,8729706,0,0,0,0,0.07913202221692313,0.007538949276935933,10.210414429239341,0.020895137664176406
4,4,preamble,24,8733802,0,0,0,0,0.0977520941178898,0.004545042090331331,13.32588160492934,0.045228339489027825
4,4,preamble,25,8737898,0,0,0,0,0.09587124656056017,0.005999118173693919,12.036009573216418,0.04259371944217375
4,4,preamble,26,8741994,0,0,0,0,0.09548006065983972,0.005108608558210252,12.716100596517654,0.04284979658842162
4,4,preamble,27,8746090,0,0,0,0,0.08427468332835271,0.0045365021778444575,12.689760055798153,0.04142510284621212
4,4,preamble,28,8750186,0,0,0,0,0.08437592055576255,0.0046472039415155295,12.590267922779892,0.04139909648136096
4,4,preamble,29,8754282,0,0,0,0,0.09711151862538786,0.005270549176653289,12.654148757974822,0.046129114978526904
4,4,preamble,30,8758378,0,0,0,0,0.09626034561823571,0.006957748417797881,11.409786954280282,0.044988301747051276
4,4,preamble,31,8762474,0,0,0,0,0.08344369122790783,0.007067381174693033,10.7213499201853,0.040531261106942704
4,4,sync,32,8766570,24,24,24,0,0.07162433775588266,0.010362957791231179,8.395768902158192,0.03467053477113167
4,4,sync,33,8770666,32,32,32,0,0.100790174587517,0.005919992399319836,12.310970483500238,0.046839711663804386
4,4,sfd,34,8774762,4043,-53,,,0.08503243788365548,0.006520051599101464,11.153335977835807,0.02541897795885641
4,4,sfd,35,8778858,4043,-53,,,0.10972183384621523,0.010849287065977825,10.048918570787276,0.025383206741648165
5,5,preamble,0,10135863,0,0,0,0,0.08533213205714923,0.004063897240447461,13.221698789272152,0.040782229375561314
5,5,preamble,1,10139959,0,0,0,0,0.10286551133507288,0.006266719681087463,12.152295207161535,0.04701958188522282
5,5,preamble,2,10144055,0,0,0,0,0.09655247014485173,0.004454959439433407,13.359196346878008,0.04444835903341387
5,5,preamble,3,10148151,0,0,0,0,0.11918901175268269,0.005351218292460013,13.477835513401324,0.054773094181851355
5,5,preamble,4,10152247,0,0,0,0,0.09915101730961265,0.00484420168345904,13.11074958253084,0.04456898531263399
5,5,preamble,5,10156343,0,0,0,0,0.1072051095713506,0.006140765450200818,12.419929754468818,0.03773858897827664
5,5,preamble,6,10160439,0,0,0,0,0.10789333035660811,0.009677838535067752,10.472162266555298,0.02664906166338744
5,5,preamble,7,10164535,0,0,0,0,0.10668241278157337,0.007332653538400581,11.628316639070476,0.026458821455912333
5,5,preamble,8,10168631,0,0,0,0,0.10068694631635779,0.005406305134072144,12.70072615745507,0.04835738480918927
5,5,preamble,9,10172727,0,0,0,0,0.09183198896279354,0.004502018470296687,13.09586718243725,0.04192179635025556
5,5,preamble,10,10176823,0,0,0,0,0.10220754838915368,0.004832977325979645,13.252682135261114,0.04818168276359955
5,5,preamble,11,10180919,0,0,0,0,0.11215205386775602,0.008739806841494833,11.08305396935538,0.027699324871470653
5,5,preamble,12,10185015,0,0,0,0,0.10677101287263176,0.010051103705921171,10.262396086320747,0.025162762583035573
5,5,preamble,13,10189111,0,0,0,0,0.09354957415047616,0.01274827350570551,8.65590442476877,0.019829789970345707
5,5,preamble,14,10193207,0,0,0,0,0.07309565361694809,0.007624586892762525,9.816752357138427,0.01984750753785984
5,5,preamble,15,10197303,0,0,0,0,0.10241460635631491,0.006817513283571841,11.767359072583465,0.03401192523452617
5,5,preamble,16,10201399,0,0,0,0,0.10181170084495493,0.009623939691608841,10.244447999040956,0.02228609495441129
5,5,preamble,17,10205495,0,0,0,0,0.08214115009422544,0.004435240358546602,12.676436188236451,0.038283200430448285
5,5,preamble,18,10209591,0,0,0,0,0.09961116430828976,0.008063176968643103,10.918018246997871,0.023861946895135693
5,5,preamble,19,10213687,0,0,0,0,0.11628612751244062,0.01001784626339912,10.647535455548905,0.02445192255355804
5,5,preamble,20,10217783,0,0,0,0,0.08693212183540036,0.01070650502644957,9.095325547691917,0.01844444378194763
5,5,preamble,21,10221879,0,0,0,0,0.12110055562257623,0.0065918936047138455,12.641359466453462,0.04609504725083762
5,5,preamble,22,10225975,0,0,0,0,0.11905067703513382,0.01206415137486723,9.942350916912087,0.026040271101463106
5,5,preamble,23,10230071,0,0,0,0,0.08970674175815112,0.008651057571099805,10.157558807643298,0.023611775169876045
5,5,preamble,24,10234167,0,0,0,0,0.10326064972084738,0.009645526946396142,10.296088946785265,0.02669078006658344
5,5,preamble,25,10238263,0,0,0,0,0.0943668334102519,0.013739883777700586,8.368363228836571,0.020883983260076424
5,5,preamble,26,10242359,0,0,0,0,0.12776925673690642,0.008255465396210521,11.896848070670021,0.031464441348245345
5,5,preamble,27,10246455,0,0,0,0,0.08749648854026432,0.006562840739556957,11.248987586529802,0.026600183982085693
5,5,preamble,28,10250551,0,0,0,0,0.10058656533748693,0.014923434400008385,8.286711979703437,0.024892766518941362
5,5,preamble,29,10254647,0,0,0,0,0.09835455637912324,0.004608047438025549,13.29277542545743,0.04501250120642785
5,5,preamble,30,10258743,0,0,0,0,0.09302049167123663,0.006247607030284403,11.728649257616595,0.03485044331660849
5,5,preamble,31,10262839,0,0,0,0,0.08323894571600203,0.010033038561686799,9.188940894598188,0.019865478987381103
5,5,sync,32,10266935,24,24,24,0,0.07335257742026562,0.005289313136084336,11.420160997031129,0.023959275169521958
5,5,sync,33,10271031,32,32,32,0,0.09394552857903614,0.007953724366851319,10.72305577687915,0.044061681087740515
5,5,sfd,34,10275127,4043,-53,,,0.07655028133455674,0.009655654941190623,8.991650539145672,0.036016372404970146
5,5,sfd,35,10279223,4043,-53,,,0.08058564451263843,0.004840847772696132,12.213362578367462,0.038461458518450425
6,6,preamble,0,11636229,0,0,0,0,0.03140750496698503,0.004571327325493319,8.369911174861643,0.014343040249261028
6,6,preamble,1,11640325,0,0,0,0,0.015859162496353878,0.005806835490922931,4.363407264701705,0.007114661879671981
6,6,preamble,2,11644421,0,0,0,0,0.01435215931952197,0.012019940857488715,0.7701491593080483,0.002283936395418457
6,6,preamble,3,11648517,0,0,0,0,0.021201639139289522,0.012544413310667071,2.2791908374562015,0.004536357411841048
6,6,preamble,4,11652613,0,0,0,0,0.013235244640346863,0.005338316212285021,3.9432767780044435,0.006160283273066782
6,6,preamble,5,11656709,0,0,0,0,0.03437903109076495,0.004483229046818594,8.847027053323647,0.01632503083327329
6,6,preamble,6,11660805,0,0,0,0,0.019734209606299267,0.005171385190667321,5.8161284933142685,0.009283474688902482
6,6,preamble,7,11664901,0,0,0,0,0.01622560268877947,0.005088440227402191,5.036161600020213,0.007762479602527305
6,6,preamble,8,11668997,0,0,0,0,0.028926765770678042,0.004476759749147983,8.10336090924663,0.013271139868576047
6,6,preamble,9,11673093,0,0,0,0,0.025480215010186553,0.00548897484195725,6.667118481435211,0.011852029653936473
6,6,preamble,10,11677189,0,0,0,0,0.023906313383164807,0.004940191217902111,6.8476884898396895,0.010939632887525606
