packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
1,0,1,1,,33,1,1,0,40047344732022015801206365266001f043719cf0b424b73fd018438bf5423112,0,0xa7e7,0x0d50,2048,0,1024.000,-1,-1.229375628,0.000000000,-1.229375628,argmax_fallback,1,0.009813279,0.211792225,44.482,563.016,82.809,1215.467,1905.784,35,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8285714285714286,27.942857142857143,0.0,0.0
2,1,2,1,,33,1,1,0,40447762154413166802677062647023737d796e2abd35f27788c5eacb72dc3e03,0,0x0e1f,0x08a0,2048,0,1024.000,-1,-0.686332660,0.000000000,-0.686332660,argmax_fallback,1,-0.034590212,0.659879301,43.572,578.086,86.953,1133.113,1841.732,35,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.8285714285714286,21.571428571428573,0.0,0.0
3,2,3,1,,33,1,1,0,4064765050140000583031f2d17abfd63328382a3a5d5d0a2f3444534379571454,0,0x1981,0xe6e9,2048,0,1024.000,-1,-0.937194635,0.000000000,-0.937194635,argmax_fallback,1,-0.011000071,0.251169748,45.382,575.993,78.946,1135.845,1836.171,35,0.4,0.4,0.4,0.4,0.9428571428571428,6.857142857142857,0.0,0.0
5,3,5,1,,33,1,1,0,40d4ae2e090d0f005830312222253436573f292e79383536bf400160537b373412,0,0x9757,0x4be5,2048,0,1024.000,-1,-0.753917936,0.000000000,-0.753917936,argmax_fallback,1,-0.062578458,0.777229089,44.730,579.813,81.050,1136.364,1841.962,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9714285714285714,5.228571428571429,0.0,0.0
6,4,6,1,,33,1,1,0,40443102312017226b303022232525372729383b2b3d1d3e3f620313427c463452,0,0x7659,0x0e51,2048,0,1024.000,-1,-1.319055145,0.000000000,-1.319055145,argmax_fallback,1,-0.038839014,0.383894326,44.513,550.734,76.312,1142.206,1813.771,35,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.9142857142857143,48.34285714285714,0.0,0.0
8,5,8,1,,33,1,1,0,4044332211000940187071267771312676783d3a7f0ca53e84da0262451a56301a,0,0x0a78,0x8ea2,2048,0,1024.000,-1,-0.970689314,0.000000000,-0.970689314,argmax_fallback,1,-0.037712986,0.771144910,46.298,550.809,78.440,1192.368,1867.920,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9714285714285714,4.0,0.0,0.0
9,6,9,1,,33,1,1,0,40047b2a51c80200583031323237343734a8293aba3db1f27fc4e15bd9535dff1e,0,0x64e6,0x84fe,2048,0,1024.000,-1,-0.612462376,0.000000000,-0.612462376,argmax_fallback,1,-0.018318309,0.372410835,44.752,585.911,85.361,1128.519,1844.548,35,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,17.02857142857143,0.0,0.0
10,7,10,1,,33,1,1,0,4054332210101b885028b13366646072121a21123bbf353ebfc829242138721022,0,0xa071,0x1562,2048,0,1024.000,-1,-0.737938917,0.000000000,-0.737938917,argmax_fallback,1,-0.025642330,0.362715017,44.611,565.597,75.673,1131.121,1817.007,35,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.9428571428571428,8.457142857142857,0.0,0.0
11,8,11,1,,33,1,1,0,40043366510008005830315231745554b7b0393a333c3d3e3f4041424378561430,0,0x1bf3,0xef6f,2048,0,1024.000,-1,0.000000000,0.000000000,0.000000000,argmax_fallback,1,0.112395762,0.243206611,45.021,565.663,76.851,1141.193,1828.733,35,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9714285714285714,2.6285714285714286,0.0,0.0
12,9,12,1,,33,1,1,0,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,2048,4,1024.000,0,4.000000000,0.000000000,0.000000000,beam,0,-0.060017486,0.066933434,43.716,557.304,75.601,1139.846,1816.474,35,0.08571428571428572,0.0,0.08571428571428572,0.0,1.0,1.457142857142857,0.08571428571428572,0.08571428571428572
13,10,13,1,,33,1,1,0,40c43b221108060058303122b2343c3e3e38393a3b3c3d3e3f4001027629103002,0,0x28ed,0x4716,2048,0,1024.000,-1,-0.187363184,0.000000000,-0.187363184,argmax_fallback,1,-0.054620073,0.756487841,44.662,556.846,85.260,1132.471,1819.245,35,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.9714285714285714,5.771428571428571,0.0,0.0
