dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,SER<=10%,,,,missing_threshold
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,current_selected,traditional_fft,SER<=10%,,,,missing_threshold
0_0_0_10_14_16,current_selected,traditional_fft,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_16,current_selected,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,current_selected,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,current_selected,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,savaux_paper,traditional_fft,SER<=10%,,,,missing_threshold
0_0_0_10_14_16,savaux_paper,traditional_fft,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_16,savaux_paper,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,savaux_paper,traditional_fft,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,savaux_paper,traditional_fft,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,savaux_paper,current_selected,SER<=10%,-23.704545454545453,-22.544117647058822,1.1604278074866308,ok
0_0_0_10_14_16,savaux_paper,current_selected,accuracy>=90%,-23.704545454545453,-22.544117647058822,1.1604278074866308,ok
0_0_0_10_14_16,savaux_paper,current_selected,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,savaux_paper,current_selected,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,savaux_paper,current_selected,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_32,multi_offset_argmax,traditional_fft,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,multi_offset_argmax,traditional_fft,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,multi_offset_argmax,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
