packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
3,0,222,447,1,4,1,4,0.3256331256681683,6.0173127559424655,0.7788026538870648,447,0,selectable_miss,222,1,hit,521,0,selectable_miss,497,0,selectable_miss,497,0,selectable_miss,497,0,selectable_miss,0_0_0_10_14_16,-22.0
3,1,711,83,0,0,0,0,0.48626848906786896,5.867376616039271,0.8126013234387478,83,0,gt_missing_top_l,83,0,gt_missing_top_l,820,0,gt_missing_top_l,83,0,gt_missing_top_l,83,0,gt_missing_top_l,83,0,gt_missing_top_l,0_0_0_10_14_16,-22.0
3,2,871,626,1,4,1,4,0.42959630220031786,6.1507276375935716,0.2770465731010213,626,0,selectable_miss,858,0,selectable_miss,871,1,hit,858,0,selectable_miss,858,0,selectable_miss,858,0,selectable_miss,0_0_0_10_14_16,-22.0
3,3,718,718,1,1,1,1,0.27449511276788197,5.989266662183098,0.9850784849246816,718,1,hit,718,1,hit,646,0,selectable_miss,718,1,hit,718,1,hit,718,1,hit,0_0_0_10_14_16,-22.0
3,4,107,697,1,14,1,14,0.3604558286072661,5.382442356967696,0.5716681800673227,697,0,selectable_miss,107,1,hit,0,0,selectable_miss,107,1,hit,107,1,hit,107,1,hit,0_0_0_10_14_16,-22.0
3,5,468,468,1,1,1,1,2.158125065894795,7.903969745555136,0.9707484085400284,468,1,hit,468,1,hit,468,1,hit,468,1,hit,468,1,hit,468,1,hit,0_0_0_10_14_16,-22.0
3,6,89,89,1,1,1,1,1.3012332849522312,6.1864134949115925,0.9051030128410388,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,0_0_0_10_14_16,-22.0
3,7,713,713,1,1,1,1,1.615399947720202,6.784605534599905,0.957831553288949,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,0_0_0_10_14_16,-22.0
3,8,865,865,1,1,1,1,0.8365271702460904,6.540945647009164,0.9105471482465466,865,1,hit,865,1,hit,541,0,selectable_miss,865,1,hit,865,1,hit,865,1,hit,0_0_0_10_14_16,-22.0
3,9,492,492,1,1,1,1,0.612207605699149,5.663319356038155,0.9892975651640493,492,1,hit,492,1,hit,492,1,hit,492,1,hit,492,1,hit,492,1,hit,0_0_0_10_14_16,-22.0
3,10,765,765,1,1,1,1,0.4099474506358535,7.139032348613419,0.965542840225792,765,1,hit,765,1,hit,769,0,selectable_miss,765,1,hit,765,1,hit,765,1,hit,0_0_0_10_14_16,-22.0
3,11,1023,1022,0,0,0,0,0.17919536071272513,6.58166125789665,0.6859542636831313,1022,0,gt_missing_top_l,638,0,gt_missing_top_l,125,0,gt_missing_top_l,125,0,gt_missing_top_l,125,0,gt_missing_top_l,125,0,gt_missing_top_l,0_0_0_10_14_16,-22.0
3,12,597,597,1,1,1,1,0.9905994769079536,6.083348208887658,0.8679501784868897,597,1,hit,597,1,hit,3,0,selectable_miss,597,1,hit,597,1,hit,597,1,hit,0_0_0_10_14_16,-22.0
3,13,562,359,1,4,1,4,0.07538853412040152,6.392979278811359,0.5604276950694056,359,0,selectable_miss,562,1,hit,562,1,hit,562,1,hit,562,1,hit,562,1,hit,0_0_0_10_14_16,-22.0
3,14,478,478,1,1,1,1,0.5858406439034345,5.896991671229691,0.9678317793386074,478,1,hit,478,1,hit,574,0,selectable_miss,478,1,hit,478,1,hit,478,1,hit,0_0_0_10_14_16,-22.0
3,15,267,267,1,1,1,1,0.3679809351303543,6.393624237665597,0.8446136388805326,267,1,hit,267,1,hit,215,0,selectable_miss,267,1,hit,267,1,hit,267,1,hit,0_0_0_10_14_16,-22.0
3,16,917,917,1,1,1,1,0.8599075988321415,6.123378634809075,0.9730117744991149,917,1,hit,917,1,hit,442,0,selectable_miss,917,1,hit,917,1,hit,917,1,hit,0_0_0_10_14_16,-22.0
