packet_id,reference_id,payload_index,start_sample,gt_symbol,decision_q8,decision_q4,decision_q2,accepted,signal_power,offpacket_power,native_esn0_db,r_q8,theory_q8,dev_q8,abs_dev_q8,primary_amp_q8,secondary_amp_q8,pair_power_q8,strong_power_q8,r_q4,theory_q4,dev_q4,abs_dev_q4,primary_amp_q4,secondary_amp_q4,pair_power_q4,strong_power_q4,r_q2,theory_q2,dev_q2,abs_dev_q2,primary_amp_q2,secondary_amp_q2,pair_power_q2,strong_power_q2,ratio_variance,c_1m,c_multirate
exp0_000000_rxg20_0_fulltrim,0,0,935698,3293,3293,3293,3293,1,5.461110784836597e-08,9.926245921143361e-08,33.5285590417924,0.7890862200849452,0.803955078125,-0.014868858040054778,0.014868858040054778,0.0070730107836425304,0.026462070643901825,0.0007502686643083743,0.0007002411827628507,0.7909148328767238,0.803955078125,-0.013040245248276183,0.013040245248276183,0.004992568865418434,0.018885590136051178,0.00038159125866285906,0.00035666551478691355,0.809050316360316,0.803955078125,0.005095238235315991,0.005095238235315991,0.003198550082743168,0.013552198186516762,0.00019389279831844453,0.0001836620756866282,8.120052511313042e-05,-0.0002210829394153016,-0.0004982929133382476
exp0_000000_rxg20_0_fulltrim,0,1,968466,313,313,313,313,1,5.516800773616521e-08,9.926245921143361e-08,33.57262218106739,0.1252108154590135,0.076416015625,0.0487947998340135,0.0487947998340135,0.029544631019234657,0.004228798672556877,0.0008907679602757415,0.0008728852220627227,0.12481446910976236,0.076416015625,0.04839845348476236,0.04839845348476236,0.021155191585421562,0.003017044859007001,0.00045664469069715184,0.00044754213101589127,0.11567778140595343,0.076416015625,0.03926176578095343,0.03926176578095343,0.014935849234461784,0.0019537515472620726,0.0002268967374630016,0.00022307959235457267,1.9390543431366763e-05,-0.0023809324908414435,-0.006284219586227963
exp0_000000_rxg20_0_fulltrim,0,2,1001234,1433,1433,1433,1433,1,5.490116890765393e-08,9.926245921143361e-08,33.55156508564031,0.3972003687273834,0.349853515625,0.0473468531023834,0.0473468531023834,0.02352318912744522,0.015500041656196117,0.0007935917180693719,0.0005533404267255571,0.3955011984082158,0.349853515625,0.04564768278321579,0.04564768278321579,0.016408804804086685,0.01073567382991314,0.00038450356768090013,0.0002692488750986183,0.40253029479898056,0.349853515625,0.05267677917398056,0.05267677917398056,0.011486358940601349,0.0077386475168168545,0.0001918231071018682,0.00013193644171233254,8.967054196988171e-06,-0.0022417244986986727,-0.007109245560517068
exp0_000000_rxg20_0_fulltrim,0,3,1034002,2865,2865,2865,2865,1,5.706549947195974e-08,9.926245921143361e-08,33.71948540225538,0.7048801999393022,0.699462890625,0.005417309314302177,0.005417309314302177,0.01145995780825615,0.027371587231755257,0.0008805344205525985,0.0007492037875855874,0.7090802499672066,0.699462890625,0.009617359342206644,0.009617359342206644,0.007900566793978214,0.01925663650035858,0.0004332370049730536,0.0003708180493069424,0.70893749186755,0.699462890625,0.009474601242549952,0.009474601242549952,0.005653987638652325,0.013771350495517254,0.0002216176706884166,0.00018965009447038331,3.7913797669936055e-06,-2.934724020682512e-05,-0.0002154002893962772
exp0_000000_rxg20_0_fulltrim,0,4,1066771,3469,3469,3469,3469,1,5.727483806912936e-08,9.926245921143361e-08,33.735387873970325,0.8402452256203558,0.846923828125,-0.006678602504644249,0.006678602504644249,0.005534691736102104,0.02911023050546646,0.0008780383326950671,0.0008474055200813901,0.8370348080801889,0.846923828125,-0.00988902004481107,0.00988902004481107,0.00402093306183815,0.020652636885643005,0.00044269931301800514,0.000426531410330222,0.8458549212633795,0.846923828125,-0.0010689068616205333,0.0010689068616205333,0.002698573051020503,0.01480813603848219,0.0002265631894458891,0.00021928089293419498,1.3285540283762391e-05,-4.460373141504043e-05,-0.0001568245510242974
exp0_000000_rxg20_0_fulltrim,0,5,1099539,3985,3985,3985,3985,1,5.998009479350775e-08,9.926245921143361e-08,33.93582065187413,0.9867032727825232,0.972900390625,0.013802882157523233,0.013802882157523233,0.000448294187663123,0.033266332000494,0.0011068498124457839,0.0011066488447670914,0.9815160954061888,0.972900390625,0.008615704781188782,0.008615704781188782,0.0004396049480419606,0.023343516513705254,0.0005451130157359728,0.0005449197632256299,0.9797020612567712,0.972900390625,0.006801670631771173,0.006801670631771173,0.000343341933330521,0.0165717713534832,0.00027474148947530957,0.0002746236057921264,8.80161020634808e-06,-0.00019051955585447323,-0.000319814258320519
exp0_000000_rxg20_0_fulltrim,0,6,1132307,3165,3165,3165,3165,1,6.021993173101038e-08,9.926245921143361e-08,33.95315176231661,0.7804268578855869,0.772705078125,0.0077217797605868554,0.0077217797605868554,0.00859979446977377,0.030566172674298286,0.0010082473768773708,0.0009342909119550193,0.775832562817604,0.772705078125,0.0031274846926040434,0.0031274846926040434,0.006198912858963013,0.021454134956002235,0.000498706427343374,0.00046027990671035704,0.7715224419417814,0.772705078125,-0.0011826361832185661,0.0011826361832185661,0.0045079984702169895,0.015222597867250443,0.00025204953603549644,0.00023172748582801772,1.321925693735436e-05,-5.962588267100879e-05,-8.402492845269355e-05
exp0_000000_rxg20_0_fulltrim,0,7,1165075,1669,1669,1669,1669,1,6.297640756193777e-08,9.926245921143361e-08,34.14752800428195,0.44079267983725917,0.407470703125,0.03332197671225917,0.03332197671225917,0.023948978632688522,0.018877675756812096,0.0009299202195283025,0.0005735535775489714,0.44544169877457185,0.407470703125,0.03797099564957185,0.03797099564957185,0.016772247850894928,0.013472088612616062,0.0004628054695580289,0.00028130829797184953,0.440907445121874,0.407470703125,0.03343674199687402,0.03343674199687402,0.012130328454077244,0.009566130116581917,0.00023865571381117157,0.00014714486840379602,4.6873338152275795e-06,-0.0011103541320123425,-0.0036748536918128926
exp0_000000_rxg20_0_fulltrim,0,8,1197844,849,849,849,849,1,6.501240630023145e-08,9.926245921143361e-08,34.28571158249525,0.2574878945118164,0.207275390625,0.05021250388681642,0.05021250388681642,0.02958713471889496,0.010260208509862423,0.0009806704195398927,0.0008753985408740395,0.2486488659603112,0.207275390625,0.04137347533531119,0.04137347533531119,0.02127831242978573,0.0070417518727481365,0.0005023528492969257,0.00045276657985957383,0.24919220007877876,0.207275390625,0.041916809453778764,0.041916809453778764,0.014862945303320885,0.004932993557304144,0.00024524156852591254,0.00022090714308950835,1.6360242647216385e-05,-0.002521295546583554,-0.006006439165336771
exp0_000000_rxg20_0_fulltrim,0,9,1230612,665,665,665,665,1,6.361536648147813e-08,9.926245921143361e-08,34.191369508450904,0.20959986103344821,0.162353515625,0.047246345408448215,0.047246345408448215,0.031477391719818115,0.008347236551344395,0.001060502547526974,0.000990826189482874,0.20688126310987015,0.162353515625,0.04452774748487015,0.04452774748487015,0.022394228726625443,0.00584142841398716,0.0005356237661761527,0.0005015014802604162,0.21185053583232819,0.162353515625,0.049497020207328185,0.049497020207328185,0.015818864107131958,0.004252029582858086,0.00026831621721340806,0.00025023646163990776,4.127775901173538e-06,-0.0022322171544543958,-0.006669020235836584
