dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,gt_bin,case_index,noise_model,snr_db,seed,savaux_equal_bin,savaux_gls_bin,savaux_nus_joint_gls_bin,segmented_savaux_gls_bin,segmented_savaux_nus_gls_bin,cfr_whitened_ml_bin,savaux_equal_correct,savaux_gls_correct,savaux_nus_joint_gls_correct,segmented_savaux_gls_correct,segmented_savaux_nus_gls_correct,cfr_whitened_ml_correct,savaux_equal_margin_db,savaux_gls_margin_db,savaux_nus_joint_gls_margin_db,segmented_savaux_gls_margin_db,segmented_savaux_nus_gls_margin_db,cfr_whitened_ml_margin_db
0_0_0_10_14_32,0,0,0,8,803,0,awgn,-22.0,101,803,803,803,803,803,803,1,1,1,1,1,1,5.50025997579541,5.500259936930595,5.500259933871996,5.500259939166581,5.500259919524896,5.500260016023745
0_0_0_10_14_32,0,0,1,9,711,1,awgn,-22.0,101,711,711,711,711,711,711,1,1,1,1,1,1,5.671836376017706,5.671835146329883,5.671835148038891,5.67183514655973,5.671835147760515,5.671834962535778
0_0_0_10_14_32,0,0,2,10,922,2,awgn,-22.0,101,922,922,922,922,922,922,1,1,1,1,1,1,5.458587954190736,5.4585874684745885,5.458587474960255,5.458587465356688,5.458587475084796,5.458587503615303
0_0_0_10_14_32,0,0,3,11,718,3,awgn,-22.0,101,718,718,718,718,718,718,1,1,1,1,1,1,5.473490420785155,5.473490986641173,5.473490986682476,5.473490985569123,5.473490982542444,5.473490911204362
0_0_0_10_14_32,0,0,4,12,107,4,awgn,-22.0,101,107,107,107,107,107,107,1,1,1,1,1,1,3.270667995119867,3.270668323736557,3.27066832588879,3.2706683211430883,3.270668325257163,3.2706683544470088
0_0_0_10_14_32,0,0,5,13,468,5,awgn,-22.0,101,468,468,468,468,468,468,1,1,1,1,1,1,5.894920756518612,5.8949197672386475,5.894919762127653,5.894919771694489,5.894919771662649,5.894919670420835
0_0_0_10_14_32,0,0,6,14,89,6,awgn,-22.0,101,89,89,89,89,89,89,1,1,1,1,1,1,5.756966803421668,5.75696552015318,5.756965517990479,5.7569655152335955,5.756965505588879,5.756965655468454
0_0_0_10_14_32,0,0,7,15,713,7,awgn,-22.0,101,713,713,713,713,713,713,1,1,1,1,1,1,2.6311625927658215,2.6311630186834947,2.631163017383174,2.631163021073184,2.6311630190171975,2.6311630335119944
0_0_0_10_14_32,0,0,8,16,865,8,awgn,-22.0,101,865,865,865,865,865,865,1,1,1,1,1,1,3.8485584378346087,3.848558857674322,3.848558855285918,3.848558857569346,3.84855886136085,3.848558957229689
0_0_0_10_14_32,0,0,9,17,492,9,awgn,-22.0,101,492,492,492,492,492,492,1,1,1,1,1,1,5.7520436915246345,5.752043852178006,5.752043851316058,5.752043854301836,5.752043853549674,5.752043790388313
0_0_0_10_14_32,0,0,10,18,765,10,awgn,-22.0,101,765,765,765,765,765,765,1,1,1,1,1,1,6.895368787689585,6.895366610712756,6.8953666089886125,6.8953666115499415,6.895366610880433,6.895366446094021
0_0_0_10_14_32,0,0,11,19,1023,11,awgn,-22.0,101,1023,1023,1023,1023,1023,1023,1,1,1,1,1,1,5.9957192166435185,5.99571865622999,5.99571865441656,5.995718655685264,5.995718660014622,5.995718766807231
0_0_0_10_14_32,0,0,12,20,597,12,awgn,-22.0,101,597,597,597,597,597,597,1,1,1,1,1,1,6.8293720600758,6.829372237502374,6.829372241428654,6.8293722380189825,6.82937223945888,6.829372157311941
0_0_0_10_14_32,0,0,13,21,562,13,awgn,-22.0,101,562,562,562,562,562,562,1,1,1,1,1,1,6.096968664337678,6.0969685676711975,6.09696857038894,6.096968566512376,6.096968571091836,6.096968596050974
0_0_0_10_14_32,0,0,14,22,478,14,awgn,-22.0,101,478,478,478,478,478,478,1,1,1,1,1,1,3.337435118971893,3.3374336922878167,3.3374336898500108,3.337433691152661,3.3374336970993985,3.3374336563855427
0_0_0_10_14_32,0,0,15,23,267,15,awgn,-22.0,101,267,267,267,267,267,267,1,1,1,1,1,1,5.283089588689178,5.283089814225659,5.283089813761795,5.283089813512062,5.283089801127497,5.283089691359373
0_0_0_10_14_32,0,0,16,24,917,16,awgn,-22.0,101,917,917,917,917,917,917,1,1,1,1,1,1,8.616230326477474,8.61623055946318,8.6162305576383,8.616230558646862,8.61623055710857,8.616230645914289
0_0_0_10_14_32,0,0,17,25,656,17,awgn,-22.0,101,656,656,656,656,656,656,1,1,1,1,1,1,5.3260912624748356,5.326092816337329,5.32609281857542,5.3260928188037155,5.326092822785503,5.326092929545892
0_0_0_10_14_32,0,0,18,26,889,18,awgn,-22.0,101,889,889,889,889,889,889,1,1,1,1,1,1,8.03487973232175,8.034879365385741,8.034879365141768,8.034879366181304,8.034879365478849,8.034879251905982
0_0_0_10_14_32,0,0,19,27,510,19,awgn,-22.0,101,510,510,510,510,510,510,1,1,1,1,1,1,5.083784491663205,5.083785329035458,5.083785327954118,5.083785332036614,5.083785336676041,5.0837851902452424
0_0_0_10_14_32,0,0,20,28,860,20,awgn,-22.0,101,860,860,860,860,860,860,1,1,1,1,1,1,6.05563373367877,6.0556332294914785,6.055633232593776,6.055633232692845,6.055633236826394,6.055633261299454
0_0_0_10_14_32,0,0,21,29,553,21,awgn,-22.0,101,553,553,553,553,553,553,1,1,1,1,1,1,6.269909624737542,6.269908849517819,6.269908842678302,6.269908851335969,6.269908845736978,6.269908781652049
0_0_0_10_14_32,0,0,22,30,629,22,awgn,-22.0,101,629,629,629,629,629,629,1,1,1,1,1,1,7.296224040713094,7.296223185060961,7.296223184855519,7.296223188627553,7.296223191120158,7.296223111006926
0_0_0_10_14_32,0,0,23,31,759,23,awgn,-22.0,101,759,759,759,759,759,759,1,1,1,1,1,1,6.678396959274623,6.678397206527356,6.67839720770976,6.678397204314448,6.67839720744397,6.67839734252095
0_0_0_10_14_32,0,0,24,32,874,24,awgn,-22.0,101,874,874,874,874,874,874,1,1,1,1,1,1,5.338065322499825,5.338065827094589,5.33806582645425,5.338065823373755,5.338065820889128,5.3380657587184075
0_0_0_10_14_32,0,0,25,33,720,25,awgn,-22.0,101,720,720,720,720,720,720,1,1,1,1,1,1,6.7208775481793035,6.7208779474017035,6.720877947645315,6.720877948826893,6.7208779557342915,6.7208779791979705
0_0_0_10_14_32,0,0,26,34,314,26,awgn,-22.0,101,314,314,314,314,314,314,1,1,1,1,1,1,5.8920307593804955,5.892032021041881,5.892032018034273,5.892032022182273,5.892032023921453,5.892031949774548
0_0_0_10_14_32,0,0,27,35,602,27,awgn,-22.0,101,602,602,602,602,602,602,1,1,1,1,1,1,6.80717126511534,6.807171719426648,6.807171716422857,6.8071717206917,6.807171721431945,6.8071717844926525
